league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Aston Villa,2023-02-12 Manchester City-Aston Villa,2023-02-12,16:30:00,Matchweek 23,Sun,Away,L,1,3,Manchester City,0.3,3.3,33,53392,Emiliano Martínez,4-4-2,Robert Jones
ENG-Premier League,2223,Aston Villa,2023-02-18 Aston Villa-Arsenal,2023-02-18,12:30:00,Matchweek 24,Sat,Home,L,2,4,Arsenal,0.5,3.2,33,42066,John McGinn,4-4-2,Simon Hooper
ENG-Premier League,2223,Aston Villa,2023-02-25 Everton-Aston Villa,2023-02-25,15:00:00,Matchweek 25,Sat,Away,W,2,0,Everton,1.9,1.6,53,39309,John McGinn,4-4-2,Anthony Taylor
ENG-Premier League,2223,Aston Villa,2023-03-04 Aston Villa-Crystal Palace,2023-03-04,15:00:00,Matchweek 26,Sat,Home,W,1,0,Crystal Palace,1.2,0.2,58,41893,John McGinn,4-2-3-1,Craig Pawson
ENG-Premier League,2223,Aston Villa,2023-03-12 West Ham-Aston Villa,2023-03-12,14:00:00,Matchweek 27,Sun,Away,D,1,1,West Ham,1.5,2.1,59,62472,John McGinn,4-2-3-1,Chris Kavanagh
ENG-Premier League,2223,Aston Villa,2023-03-18 Aston Villa-Bournemouth,2023-03-18,15:00:00,Matchweek 28,Sat,Home,W,3,0,Bournemouth,3.5,1.3,56,41021,John McGinn,4-2-3-1,Robert Jones
ENG-Premier League,2223,Aston Villa,2023-04-01 Chelsea-Aston Villa,2023-04-01,17:30:00,Matchweek 29,Sat,Away,W,2,0,Chelsea,0.9,2.1,31,40082,John McGinn,4-4-2,Andy Madley
ENG-Premier League,2223,Aston Villa,2023-04-04 Leicester City-Aston Villa,2023-04-04,19:45:00,Matchweek 7,Tue,Away,W,2,1,Leicester City,1.0,0.5,64,32087,John McGinn,4-4-2,Graham Scott
ENG-Premier League,2223,Aston Villa,2023-04-08 Aston Villa-Nott'ham Forest,2023-04-08,15:00:00,Matchweek 30,Sat,Home,W,2,0,Nott'ham Forest,1.3,0.2,63,42076,John McGinn,4-4-2,Anthony Taylor
ENG-Premier League,2223,Aston Villa,2023-04-15 Aston Villa-Newcastle Utd,2023-04-15,12:30:00,Matchweek 31,Sat,Home,W,3,0,Newcastle Utd,1.9,0.5,52,42055,John McGinn,4-2-3-1,John Brooks
ENG-Premier League,2223,Aston Villa,2023-04-22 Brentford-Aston Villa,2023-04-22,15:00:00,Matchweek 32,Sat,Away,D,1,1,Brentford,1.5,2.7,56,17098,John McGinn,4-2-3-1,Michael Salisbury
ENG-Premier League,2223,Aston Villa,2023-04-25 Aston Villa-Fulham,2023-04-25,19:45:00,Matchweek 33,Tue,Home,W,1,0,Fulham,1.0,0.1,51,41046,John McGinn,4-2-3-1,Thomas Bramall
ENG-Premier League,2223,Aston Villa,2023-04-30 Manchester Utd-Aston Villa,2023-04-30,14:00:00,Matchweek 34,Sun,Away,L,0,1,Manchester Utd,0.6,1.2,43,73592,John McGinn,4-2-3-1,Jarred Gillett
ENG-Premier League,2223,Aston Villa,2023-05-06 Wolves-Aston Villa,2023-05-06,15:00:00,Matchweek 35,Sat,Away,L,0,1,Wolves,1.5,0.8,62,31641,John McGinn,4-4-2,Stuart Attwell
