,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
ENG-Premier League,2223,Bournemouth,2023-04-23 Bournemouth-West Ham,2023-04-23,Matchweek 32,Sun,Home,L,0,4,West Ham,0,17,5,29.4,0.0,0.0,17.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,14:00:00
ENG-Premier League,2223,Bournemouth,2023-04-27 Southampton-Bournemouth,2023-04-27,Matchweek 33,Thu,Away,W,1,0,Southampton,1,16,2,12.5,0.06,0.5,17.6,0,0,0,0.9,0.9,0.06,0.1,0.1,19:45:00
ENG-Premier League,2223,Bournemouth,2023-04-30 Bournemouth-Leeds United,2023-04-30,Matchweek 34,Sun,Home,W,4,1,Leeds United,4,12,7,58.3,0.33,0.57,12.5,0,0,0,1.9,1.9,0.16,2.1,2.1,14:00:00
ENG-Premier League,2223,Bournemouth,2023-05-06 Bournemouth-Chelsea,2023-05-06,Matchweek 35,Sat,Home,L,1,3,Chelsea,1,10,4,40.0,0.1,0.25,14.5,0,0,0,1.2,1.2,0.13,-0.2,-0.2,15:00:00
ENG-Premier League,2223,Bournemouth,2023-05-13 Crystal Palace-Bournemouth,2023-05-13,Matchweek 36,Sat,Away,L,0,2,Crystal Palace,0,5,0,0.0,0.0,,19.4,1,0,0,0.3,0.3,0.06,-0.3,-0.3,15:00:00
ENG-Premier League,2223,Bournemouth,2023-05-20 Bournemouth-Manchester Utd,2023-05-20,Matchweek 37,Sat,Home,L,0,1,Manchester Utd,0,10,4,40.0,0.0,0.0,16.2,1,0,0,1.0,1.0,0.1,-1.0,-1.0,15:00:00
ENG-Premier League,2223,Bournemouth,2023-05-28 Everton-Bournemouth,2023-05-28,Matchweek 38,Sun,Away,L,0,1,Everton,0,7,1,14.3,0.0,0.0,14.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,16:30:00
ENG-Premier League,2223,Brentford,2022-08-07 Leicester City-Brentford,2022-08-07,Matchweek 1,Sun,Away,D,2,2,Leicester City,2,8,3,37.5,0.25,0.67,17.0,0,0,0,0.8,0.8,0.1,1.2,1.2,14:00:00
ENG-Premier League,2223,Brentford,2022-08-13 Brentford-Manchester Utd,2022-08-13,Matchweek 2,Sat,Home,W,4,0,Manchester Utd,4,13,7,53.8,0.31,0.57,18.6,1,0,0,1.6,1.6,0.12,2.4,2.4,17:30:00
ENG-Premier League,2223,Brentford,2022-08-20 Fulham-Brentford,2022-08-20,Matchweek 3,Sat,Away,L,2,3,Fulham,2,13,5,38.5,0.15,0.4,14.1,0,0,0,1.8,1.8,0.14,0.2,0.2,15:00:00
ENG-Premier League,2223,Brentford,2022-08-27 Brentford-Everton,2022-08-27,Matchweek 4,Sat,Home,D,1,1,Everton,1,20,5,25.0,0.05,0.2,14.8,0,0,0,2.1,2.1,0.11,-1.1,-1.1,15:00:00
ENG-Premier League,2223,Brentford,2022-08-30 Crystal Palace-Brentford,2022-08-30,Matchweek 5,Tue,Away,D,1,1,Crystal Palace,1,9,3,33.3,0.11,0.33,10.7,0,0,0,1.4,1.4,0.16,-0.4,-0.4,19:30:00
ENG-Premier League,2223,Brentford,2022-09-03 Brentford-Leeds United,2022-09-03,Matchweek 6,Sat,Home,W,5,2,Leeds United,5,13,7,53.8,0.31,0.57,18.8,2,1,1,2.3,1.6,0.13,2.7,2.4,15:00:00
ENG-Premier League,2223,Brentford,2022-09-18 Brentford-Arsenal,2022-09-18,Matchweek 8,Sun,Home,L,0,3,Arsenal,0,5,2,40.0,0.0,0.0,13.9,1,0,0,0.5,0.5,0.11,-0.5,-0.5,12:00:00
ENG-Premier League,2223,Brentford,2022-10-01 Bournemouth-Brentford,2022-10-01,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0,13,4,30.8,0.0,0.0,15.2,1,0,0,0.9,0.9,0.07,-0.9,-0.9,15:00:00
ENG-Premier League,2223,Brentford,2022-10-08 Newcastle Utd-Brentford,2022-10-08,Matchweek 10,Sat,Away,L,1,5,Newcastle Utd,1,5,2,40.0,0.0,0.0,18.2,0,1,1,1.2,0.4,0.08,-0.2,-0.4,15:00:00
ENG-Premier League,2223,Brentford,2022-10-14 Brentford-Brighton,2022-10-14,Matchweek 11,Fri,Home,W,2,0,Brighton,2,6,1,16.7,0.17,1.0,16.3,0,1,1,1.5,0.7,0.11,0.5,0.3,20:00:00
ENG-Premier League,2223,Brentford,2022-10-19 Brentford-Chelsea,2022-10-19,Matchweek 12,Wed,Home,D,0,0,Chelsea,0,8,5,62.5,0.0,0.0,14.5,0,0,0,1.3,1.3,0.16,-1.3,-1.3,19:30:00
ENG-Premier League,2223,Brentford,2022-10-23 Aston Villa-Brentford,2022-10-23,Matchweek 13,Sun,Away,L,0,4,Aston Villa,0,12,3,25.0,0.0,0.0,16.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,14:00:00
ENG-Premier League,2223,Brentford,2022-10-29 Brentford-Wolves,2022-10-29,Matchweek 14,Sat,Home,D,1,1,Wolves,1,12,3,25.0,0.08,0.33,15.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Brentford,2022-11-05 Nott'ham Forest-Brentford,2022-11-05,Matchweek 15,Sat,Away,D,2,2,Nott'ham Forest,2,5,1,20.0,0.2,1.0,20.3,0,1,1,1.5,0.7,0.13,0.5,0.3,15:00:00
ENG-Premier League,2223,Brentford,2022-11-12 Manchester City-Brentford,2022-11-12,Matchweek 16,Sat,Away,W,2,1,Manchester City,2,10,7,70.0,0.2,0.29,15.2,0,0,0,1.3,1.3,0.13,0.7,0.7,12:30:00
ENG-Premier League,2223,Brentford,2022-12-26 Brentford-Tottenham,2022-12-26,Matchweek 17,Mon,Home,D,2,2,Tottenham,2,9,4,44.4,0.22,0.5,10.2,0,0,0,2.0,2.0,0.24,0.0,0.0,12:30:00
ENG-Premier League,2223,Brentford,2022-12-30 West Ham-Brentford,2022-12-30,Matchweek 18,Fri,Away,W,2,0,West Ham,2,9,6,66.7,0.22,0.33,13.4,1,0,0,1.6,1.6,0.2,0.4,0.4,19:45:00
ENG-Premier League,2223,Brentford,2023-01-02 Brentford-Liverpool,2023-01-02,Matchweek 19,Mon,Home,W,3,1,Liverpool,2,10,7,70.0,0.2,0.29,10.5,0,0,0,1.7,1.7,0.19,0.3,0.3,17:30:00
ENG-Premier League,2223,Brentford,2023-01-14 Brentford-Bournemouth,2023-01-14,Matchweek 20,Sat,Home,W,2,0,Bournemouth,2,11,3,27.3,0.09,0.33,23.3,0,1,1,1.4,0.6,0.06,0.6,0.4,17:30:00
ENG-Premier League,2223,Brentford,2023-01-22 Leeds United-Brentford,2023-01-22,Matchweek 21,Sun,Away,D,0,0,Leeds United,0,6,0,0.0,0.0,,24.2,1,0,0,0.4,0.4,0.07,-0.4,-0.4,14:00:00
ENG-Premier League,2223,Brentford,2023-02-04 Brentford-Southampton,2023-02-04,Matchweek 22,Sat,Home,W,3,0,Southampton,3,14,3,21.4,0.21,1.0,12.1,0,0,0,2.2,2.2,0.16,0.8,0.8,15:00:00
ENG-Premier League,2223,Brentford,2023-02-11 Arsenal-Brentford,2023-02-11,Matchweek 23,Sat,Away,D,1,1,Arsenal,1,9,2,22.2,0.11,0.5,12.9,0,0,0,2.0,2.0,0.22,-1.0,-1.0,15:00:00
ENG-Premier League,2223,Brentford,2023-02-18 Brentford-Crystal Palace,2023-02-18,Matchweek 24,Sat,Home,D,1,1,Crystal Palace,1,12,5,41.7,0.08,0.2,19.0,0,0,0,0.9,0.9,0.07,0.1,0.1,15:00:00
ENG-Premier League,2223,Brentford,2023-03-06 Brentford-Fulham,2023-03-06,Matchweek 26,Mon,Home,W,3,2,Fulham,3,13,5,38.5,0.15,0.4,19.8,2,1,1,2.2,1.4,0.11,0.8,0.6,20:00:00
ENG-Premier League,2223,Brentford,2023-03-11 Everton-Brentford,2023-03-11,Matchweek 27,Sat,Away,L,0,1,Everton,0,12,3,25.0,0.0,0.0,13.0,1,0,0,2.0,2.0,0.18,-2.0,-2.0,15:00:00
ENG-Premier League,2223,Brentford,2023-03-15 Southampton-Brentford,2023-03-15,Matchweek 7,Wed,Away,W,2,0,Southampton,2,11,4,36.4,0.18,0.5,18.3,0,0,0,1.9,1.9,0.18,0.1,0.1,19:30:00
ENG-Premier League,2223,Brentford,2023-03-18 Brentford-Leicester City,2023-03-18,Matchweek 28,Sat,Home,D,1,1,Leicester City,1,11,2,18.2,0.09,0.5,17.5,0,0,0,0.6,0.6,0.06,0.4,0.4,15:00:00
ENG-Premier League,2223,Brentford,2023-04-01 Brighton-Brentford,2023-04-01,Matchweek 29,Sat,Away,D,3,3,Brighton,3,7,5,71.4,0.43,0.6,15.6,1,0,0,1.6,1.6,0.23,1.4,1.4,15:00:00
ENG-Premier League,2223,Brentford,2023-04-05 Manchester Utd-Brentford,2023-04-05,Matchweek 25,Wed,Away,L,0,1,Manchester Utd,0,6,1,16.7,0.0,0.0,16.5,0,0,0,0.7,0.7,0.12,-0.7,-0.7,20:00:00
ENG-Premier League,2223,Brentford,2023-04-08 Brentford-Newcastle Utd,2023-04-08,Matchweek 30,Sat,Home,L,1,2,Newcastle Utd,1,10,4,40.0,0.0,0.0,15.5,0,1,2,2.6,1.0,0.1,-1.6,-1.0,15:00:00
ENG-Premier League,2223,Brentford,2023-04-15 Wolves-Brentford,2023-04-15,Matchweek 31,Sat,Away,L,0,2,Wolves,0,10,3,30.0,0.0,0.0,15.6,0,0,0,1.1,1.1,0.12,-1.1,-1.1,15:00:00
ENG-Premier League,2223,Brentford,2023-04-22 Brentford-Aston Villa,2023-04-22,Matchweek 32,Sat,Home,D,1,1,Aston Villa,1,16,5,31.3,0.06,0.2,16.0,1,0,0,2.7,2.7,0.17,-1.7,-1.7,15:00:00
ENG-Premier League,2223,Brentford,2023-04-26 Chelsea-Brentford,2023-04-26,Matchweek 33,Wed,Away,W,2,0,Chelsea,1,7,1,14.3,0.14,1.0,11.5,0,0,0,1.1,1.1,0.16,-0.1,-0.1,19:45:00
ENG-Premier League,2223,Brentford,2023-04-29 Brentford-Nott'ham Forest,2023-04-29,Matchweek 34,Sat,Home,W,2,1,Nott'ham Forest,2,14,8,57.1,0.14,0.25,16.8,1,0,0,1.6,1.6,0.12,0.4,0.4,15:00:00
ENG-Premier League,2223,Brentford,2023-05-06 Liverpool-Brentford,2023-05-06,Matchweek 35,Sat,Away,L,0,1,Liverpool,0,5,1,20.0,0.0,0.0,19.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2,17:30:00
ENG-Premier League,2223,Brentford,2023-05-14 Brentford-West Ham,2023-05-14,Matchweek 36,Sun,Home,W,2,0,West Ham,2,24,9,37.5,0.08,0.22,12.8,0,0,0,3.4,3.4,0.16,-1.4,-1.4,14:00:00
ENG-Premier League,2223,Brentford,2023-05-20 Tottenham-Brentford,2023-05-20,Matchweek 37,Sat,Away,W,3,1,Tottenham,3,11,4,36.4,0.27,0.75,18.1,0,0,0,1.3,1.3,0.12,1.7,1.7,12:30:00
ENG-Premier League,2223,Brentford,2023-05-28 Brentford-Manchester City,2023-05-28,Matchweek 38,Sun,Home,W,1,0,Manchester City,1,11,4,36.4,0.09,0.25,14.0,0,0,0,1.3,1.3,0.12,-0.3,-0.3,16:30:00
ENG-Premier League,2223,Brighton,2022-08-07 Manchester Utd-Brighton,2022-08-07,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,2,15,4,26.7,0.13,0.5,17.4,0,0,0,1.5,1.5,0.1,0.5,0.5,14:00:00
ENG-Premier League,2223,Brighton,2022-08-13 Brighton-Newcastle Utd,2022-08-13,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0,13,5,38.5,0.0,0.0,17.3,0,0,0,1.5,1.5,0.12,-1.5,-1.5,15:00:00
ENG-Premier League,2223,Brighton,2022-08-21 West Ham-Brighton,2022-08-21,Matchweek 3,Sun,Away,W,2,0,West Ham,2,10,1,10.0,0.1,1.0,18.8,0,1,1,1.7,0.9,0.09,0.3,0.1,14:00:00
ENG-Premier League,2223,Brighton,2022-08-27 Brighton-Leeds United,2022-08-27,Matchweek 4,Sat,Home,W,1,0,Leeds United,1,13,4,30.8,0.08,0.25,13.6,0,0,0,2.0,2.0,0.16,-1.0,-1.0,15:00:00
ENG-Premier League,2223,Brighton,2022-08-30 Fulham-Brighton,2022-08-30,Matchweek 5,Tue,Away,L,1,2,Fulham,1,6,2,33.3,0.0,0.0,15.3,0,1,1,1.4,0.6,0.11,-0.4,-0.6,19:30:00
ENG-Premier League,2223,Brighton,2022-09-04 Brighton-Leicester City,2022-09-04,Matchweek 6,Sun,Home,W,5,2,Leicester City,4,22,10,45.5,0.14,0.3,19.6,2,1,1,2.6,2.0,0.09,1.4,1.0,14:00:00
ENG-Premier League,2223,Brighton,2022-10-01 Liverpool-Brighton,2022-10-01,Matchweek 9,Sat,Away,D,3,3,Liverpool,3,6,6,100.0,0.5,0.5,10.0,0,0,0,1.4,1.4,0.23,1.6,1.6,15:00:00
ENG-Premier League,2223,Brighton,2022-10-08 Brighton-Tottenham,2022-10-08,Matchweek 10,Sat,Home,L,0,1,Tottenham,0,14,4,28.6,0.0,0.0,18.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,17:30:00
ENG-Premier League,2223,Brighton,2022-10-14 Brentford-Brighton,2022-10-14,Matchweek 11,Fri,Away,L,0,2,Brentford,0,21,7,33.3,0.0,0.0,17.2,0,0,0,1.9,1.9,0.09,-1.9,-1.9,20:00:00
ENG-Premier League,2223,Brighton,2022-10-18 Brighton-Nott'ham Forest,2022-10-18,Matchweek 12,Tue,Home,D,0,0,Nott'ham Forest,0,19,7,36.8,0.0,0.0,15.7,0,0,0,1.7,1.7,0.09,-1.7,-1.7,19:30:00
ENG-Premier League,2223,Brighton,2022-10-22 Manchester City-Brighton,2022-10-22,Matchweek 13,Sat,Away,L,1,3,Manchester City,1,8,2,25.0,0.13,0.5,19.8,0,0,0,0.5,0.5,0.06,0.5,0.5,15:00:00
ENG-Premier League,2223,Brighton,2022-10-29 Brighton-Chelsea,2022-10-29,Matchweek 14,Sat,Home,W,4,1,Chelsea,2,19,7,36.8,0.11,0.29,15.9,0,0,0,2.4,2.4,0.13,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Brighton,2022-11-05 Wolves-Brighton,2022-11-05,Matchweek 15,Sat,Away,W,3,2,Wolves,3,19,8,42.1,0.16,0.38,17.2,3,0,0,1.5,1.5,0.08,1.5,1.5,15:00:00
ENG-Premier League,2223,Brighton,2022-11-13 Brighton-Aston Villa,2022-11-13,Matchweek 16,Sun,Home,L,1,2,Aston Villa,1,7,2,28.6,0.14,0.5,18.2,0,0,0,0.6,0.6,0.09,0.4,0.4,14:00:00
ENG-Premier League,2223,Brighton,2022-12-26 Southampton-Brighton,2022-12-26,Matchweek 17,Mon,Away,W,3,1,Southampton,2,7,4,57.1,0.29,0.5,13.7,0,0,0,0.6,0.6,0.09,1.4,1.4,15:00:00
ENG-Premier League,2223,Brighton,2022-12-31 Brighton-Arsenal,2022-12-31,Matchweek 18,Sat,Home,L,2,4,Arsenal,2,9,5,55.6,0.22,0.4,13.5,0,0,0,1.2,1.2,0.13,0.8,0.8,17:30:00
ENG-Premier League,2223,Brighton,2023-01-03 Everton-Brighton,2023-01-03,Matchweek 19,Tue,Away,W,4,1,Everton,4,19,8,42.1,0.21,0.5,18.9,1,0,0,2.2,2.2,0.11,1.8,1.8,19:45:00
ENG-Premier League,2223,Brighton,2023-01-14 Brighton-Liverpool,2023-01-14,Matchweek 20,Sat,Home,W,3,0,Liverpool,3,16,8,50.0,0.19,0.38,16.3,0,0,0,1.9,1.9,0.12,1.1,1.1,15:00:00
ENG-Premier League,2223,Brighton,2023-01-21 Leicester City-Brighton,2023-01-21,Matchweek 21,Sat,Away,D,2,2,Leicester City,2,13,4,30.8,0.15,0.5,17.0,0,0,0,1.7,1.7,0.16,0.3,0.3,15:00:00
ENG-Premier League,2223,Brighton,2023-02-04 Brighton-Bournemouth,2023-02-04,Matchweek 22,Sat,Home,W,1,0,Bournemouth,1,20,6,30.0,0.05,0.17,16.3,0,0,0,2.2,2.2,0.13,-1.2,-1.2,15:00:00
ENG-Premier League,2223,Brighton,2023-02-11 Crystal Palace-Brighton,2023-02-11,Matchweek 23,Sat,Away,D,1,1,Crystal Palace,1,17,7,41.2,0.06,0.14,13.6,1,0,0,2.5,2.5,0.15,-1.5,-1.5,15:00:00
ENG-Premier League,2223,Brighton,2023-02-18 Brighton-Fulham,2023-02-18,Matchweek 24,Sat,Home,L,0,1,Fulham,0,21,7,33.3,0.0,0.0,15.6,1,0,0,2.2,2.2,0.11,-2.2,-2.2,15:00:00
ENG-Premier League,2223,Brighton,2023-03-04 Brighton-West Ham,2023-03-04,Matchweek 26,Sat,Home,W,4,0,West Ham,4,19,8,42.1,0.16,0.38,16.3,0,1,1,3.5,2.7,0.15,0.5,0.3,15:00:00
ENG-Premier League,2223,Brighton,2023-03-11 Leeds United-Brighton,2023-03-11,Matchweek 27,Sat,Away,D,2,2,Leeds United,2,15,3,20.0,0.13,0.67,16.0,0,0,0,2.7,2.7,0.19,-0.7,-0.7,15:00:00
ENG-Premier League,2223,Brighton,2023-03-15 Brighton-Crystal Palace,2023-03-15,Matchweek 8,Wed,Home,W,1,0,Crystal Palace,1,11,5,45.5,0.09,0.2,20.5,1,0,0,0.6,0.6,0.05,0.4,0.4,19:30:00
ENG-Premier League,2223,Brighton,2023-04-01 Brighton-Brentford,2023-04-01,Matchweek 29,Sat,Home,D,3,3,Brentford,3,32,13,40.6,0.06,0.15,16.7,1,1,1,4.2,3.6,0.12,-1.2,-1.6,15:00:00
ENG-Premier League,2223,Brighton,2023-04-04 Bournemouth-Brighton,2023-04-04,Matchweek 7,Tue,Away,W,2,0,Bournemouth,2,16,6,37.5,0.13,0.33,16.9,0,0,0,2.7,2.7,0.17,-0.7,-0.7,19:45:00
ENG-Premier League,2223,Brighton,2023-04-08 Tottenham-Brighton,2023-04-08,Matchweek 30,Sat,Away,L,1,2,Tottenham,1,17,4,23.5,0.06,0.25,16.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Brighton,2023-04-15 Chelsea-Brighton,2023-04-15,Matchweek 31,Sat,Away,W,2,1,Chelsea,2,26,10,38.5,0.08,0.2,17.2,0,0,0,2.9,2.9,0.12,-0.9,-0.9,15:00:00
ENG-Premier League,2223,Brighton,2023-04-26 Nott'ham Forest-Brighton,2023-04-26,Matchweek 33,Wed,Away,L,1,3,Nott'ham Forest,1,17,7,41.2,0.06,0.14,17.2,0,0,0,2.3,2.3,0.14,-1.3,-1.3,19:30:00
ENG-Premier League,2223,Brighton,2023-04-29 Brighton-Wolves,2023-04-29,Matchweek 34,Sat,Home,W,6,0,Wolves,6,22,8,36.4,0.27,0.75,16.5,0,0,0,3.3,3.3,0.15,2.7,2.7,15:00:00
ENG-Premier League,2223,Brighton,2023-05-04 Brighton-Manchester Utd,2023-05-04,Matchweek 28,Thu,Home,W,1,0,Manchester Utd,1,21,5,23.8,0.0,0.0,19.3,0,1,1,2.3,1.5,0.07,-1.3,-1.5,20:00:00
ENG-Premier League,2223,Brighton,2023-05-08 Brighton-Everton,2023-05-08,Matchweek 35,Mon,Home,L,1,5,Everton,1,23,5,21.7,0.04,0.2,13.3,0,0,0,3.2,3.2,0.15,-2.2,-2.2,17:30:00
ENG-Premier League,2223,Brighton,2023-05-14 Arsenal-Brighton,2023-05-14,Matchweek 36,Sun,Away,W,3,0,Arsenal,3,12,6,50.0,0.25,0.5,18.3,0,0,0,1.7,1.7,0.14,1.3,1.3,16:30:00
ENG-Premier League,2223,Brighton,2023-05-18 Newcastle Utd-Brighton,2023-05-18,Matchweek 25,Thu,Away,L,1,4,Newcastle Utd,1,8,2,25.0,0.13,0.5,17.2,0,0,0,0.5,0.5,0.06,0.5,0.5,19:30:00
ENG-Premier League,2223,Brighton,2023-05-21 Brighton-Southampton,2023-05-21,Matchweek 37,Sun,Home,W,3,1,Southampton,3,26,8,30.8,0.12,0.38,17.4,0,0,0,2.5,2.5,0.1,0.5,0.5,14:00:00
ENG-Premier League,2223,Brighton,2023-05-24 Brighton-Manchester City,2023-05-24,Matchweek 32,Wed,Home,D,1,1,Manchester City,1,20,7,35.0,0.05,0.14,17.4,2,0,0,2.2,2.2,0.12,-1.2,-1.2,20:00:00
ENG-Premier League,2223,Brighton,2023-05-28 Aston Villa-Brighton,2023-05-28,Matchweek 38,Sun,Away,L,1,2,Aston Villa,1,8,4,50.0,0.13,0.25,18.2,0,0,0,1.4,1.4,0.17,-0.4,-0.4,16:30:00
ENG-Premier League,2223,Chelsea,2022-08-06 Everton-Chelsea,2022-08-06,Matchweek 1,Sat,Away,W,1,0,Everton,1,14,5,35.7,0.0,0.0,16.1,1,1,1,1.5,0.8,0.06,-0.5,-0.8,17:30:00
ENG-Premier League,2223,Chelsea,2022-08-14 Chelsea-Tottenham,2022-08-14,Matchweek 2,Sun,Home,D,2,2,Tottenham,2,16,3,18.8,0.13,0.67,17.2,0,0,0,1.6,1.6,0.1,0.4,0.4,16:30:00
ENG-Premier League,2223,Chelsea,2022-08-21 Leeds United-Chelsea,2022-08-21,Matchweek 3,Sun,Away,L,0,3,Leeds United,0,14,3,21.4,0.0,0.0,19.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,14:00:00
ENG-Premier League,2223,Chelsea,2022-08-27 Chelsea-Leicester City,2022-08-27,Matchweek 4,Sat,Home,W,2,1,Leicester City,2,7,4,57.1,0.29,0.5,14.6,0,0,0,1.8,1.8,0.25,0.2,0.2,15:00:00
ENG-Premier League,2223,Chelsea,2022-08-30 Southampton-Chelsea,2022-08-30,Matchweek 5,Tue,Away,L,1,2,Southampton,1,10,4,40.0,0.1,0.25,14.5,0,0,0,1.1,1.1,0.11,-0.1,-0.1,19:45:00
ENG-Premier League,2223,Chelsea,2022-09-03 Chelsea-West Ham,2022-09-03,Matchweek 6,Sat,Home,W,2,1,West Ham,2,8,3,37.5,0.25,0.67,17.2,0,0,0,0.9,0.9,0.11,1.1,1.1,15:00:00
ENG-Premier League,2223,Chelsea,2022-10-01 Crystal Palace-Chelsea,2022-10-01,Matchweek 9,Sat,Away,W,2,1,Crystal Palace,2,13,3,23.1,0.15,0.67,14.8,0,0,0,1.1,1.1,0.09,0.9,0.9,15:00:00
ENG-Premier League,2223,Chelsea,2022-10-08 Chelsea-Wolves,2022-10-08,Matchweek 10,Sat,Home,W,3,0,Wolves,3,20,7,35.0,0.15,0.43,14.7,0,0,0,1.9,1.9,0.1,1.1,1.1,15:00:00
ENG-Premier League,2223,Chelsea,2022-10-16 Aston Villa-Chelsea,2022-10-16,Matchweek 11,Sun,Away,W,2,0,Aston Villa,2,8,4,50.0,0.25,0.5,18.0,1,0,0,0.9,0.9,0.11,1.1,1.1,14:00:00
ENG-Premier League,2223,Chelsea,2022-10-19 Brentford-Chelsea,2022-10-19,Matchweek 12,Wed,Away,D,0,0,Brentford,0,14,5,35.7,0.0,0.0,21.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,19:30:00
ENG-Premier League,2223,Chelsea,2022-10-22 Chelsea-Manchester Utd,2022-10-22,Matchweek 13,Sat,Home,D,1,1,Manchester Utd,1,5,1,20.0,0.0,0.0,19.7,0,1,1,1.1,0.3,0.06,-0.1,-0.3,17:30:00
ENG-Premier League,2223,Chelsea,2022-10-29 Brighton-Chelsea,2022-10-29,Matchweek 14,Sat,Away,L,1,4,Brighton,1,15,7,46.7,0.07,0.14,18.3,0,0,0,1.4,1.4,0.09,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Chelsea,2022-11-06 Chelsea-Arsenal,2022-11-06,Matchweek 15,Sun,Home,L,0,1,Arsenal,0,5,1,20.0,0.0,0.0,16.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,12:00:00
ENG-Premier League,2223,Chelsea,2022-11-12 Newcastle Utd-Chelsea,2022-11-12,Matchweek 16,Sat,Away,L,0,1,Newcastle Utd,0,5,2,40.0,0.0,0.0,14.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,17:30:00
ENG-Premier League,2223,Chelsea,2022-12-27 Chelsea-Bournemouth,2022-12-27,Matchweek 17,Tue,Home,W,2,0,Bournemouth,2,15,5,33.3,0.13,0.4,15.7,0,0,0,1.8,1.8,0.12,0.2,0.2,17:30:00
ENG-Premier League,2223,Chelsea,2023-01-01 Nott'ham Forest-Chelsea,2023-01-01,Matchweek 18,Sun,Away,D,1,1,Nott'ham Forest,1,7,2,28.6,0.14,0.5,11.6,0,0,0,0.9,0.9,0.13,0.1,0.1,16:30:00
ENG-Premier League,2223,Chelsea,2023-01-05 Chelsea-Manchester City,2023-01-05,Matchweek 19,Thu,Home,L,0,1,Manchester City,0,8,2,25.0,0.0,0.0,17.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,20:00:00
ENG-Premier League,2223,Chelsea,2023-01-12 Fulham-Chelsea,2023-01-12,Matchweek 7,Thu,Away,L,1,2,Fulham,1,20,10,50.0,0.05,0.1,16.6,1,0,0,2.1,2.1,0.11,-1.1,-1.1,20:00:00
ENG-Premier League,2223,Chelsea,2023-01-15 Chelsea-Crystal Palace,2023-01-15,Matchweek 20,Sun,Home,W,1,0,Crystal Palace,1,15,5,33.3,0.07,0.2,14.8,0,0,0,1.5,1.5,0.1,-0.5,-0.5,14:00:00
ENG-Premier League,2223,Chelsea,2023-01-21 Liverpool-Chelsea,2023-01-21,Matchweek 21,Sat,Away,D,0,0,Liverpool,0,11,2,18.2,0.0,0.0,13.8,0,0,0,1.6,1.6,0.15,-1.6,-1.6,12:30:00
ENG-Premier League,2223,Chelsea,2023-02-03 Chelsea-Fulham,2023-02-03,Matchweek 22,Fri,Home,D,0,0,Fulham,0,12,2,16.7,0.0,0.0,17.0,0,0,0,1.3,1.3,0.11,-1.3,-1.3,20:00:00
ENG-Premier League,2223,Chelsea,2023-02-11 West Ham-Chelsea,2023-02-11,Matchweek 23,Sat,Away,D,1,1,West Ham,1,12,4,33.3,0.08,0.25,18.0,2,0,0,1.1,1.1,0.1,-0.1,-0.1,12:30:00
ENG-Premier League,2223,Chelsea,2023-02-18 Chelsea-Southampton,2023-02-18,Matchweek 24,Sat,Home,L,0,1,Southampton,0,17,4,23.5,0.0,0.0,17.0,1,0,0,1.6,1.6,0.1,-1.6,-1.6,15:00:00
ENG-Premier League,2223,Chelsea,2023-02-26 Tottenham-Chelsea,2023-02-26,Matchweek 25,Sun,Away,L,0,2,Tottenham,0,10,2,20.0,0.0,0.0,23.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,13:30:00
ENG-Premier League,2223,Chelsea,2023-03-04 Chelsea-Leeds United,2023-03-04,Matchweek 26,Sat,Home,W,1,0,Leeds United,1,13,3,23.1,0.08,0.33,15.8,1,0,0,1.5,1.5,0.11,-0.5,-0.5,15:00:00
ENG-Premier League,2223,Chelsea,2023-03-11 Leicester City-Chelsea,2023-03-11,Matchweek 27,Sat,Away,W,3,1,Leicester City,3,12,6,50.0,0.25,0.5,15.1,0,0,0,1.6,1.6,0.13,1.4,1.4,15:00:00
ENG-Premier League,2223,Chelsea,2023-03-18 Chelsea-Everton,2023-03-18,Matchweek 28,Sat,Home,D,2,2,Everton,2,19,6,31.6,0.05,0.17,17.1,0,1,1,2.3,1.5,0.08,-0.3,-0.5,17:30:00
ENG-Premier League,2223,Chelsea,2023-04-01 Chelsea-Aston Villa,2023-04-01,Matchweek 29,Sat,Home,L,0,2,Aston Villa,0,27,7,25.9,0.0,0.0,16.3,0,0,0,2.1,2.1,0.08,-2.1,-2.1,17:30:00
