fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
195982,,UTC,2012-02-18T14:30:00+00:00,1329575400,,,,Imtech Arena (Hamburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,False,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,True,1.0,3.0,0.0,2.0,1.0,3.0,,,,
195983,,UTC,2012-02-18T14:30:00+00:00,1329575400,,,,easyCredit-Stadion (Nürnberg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,171,FC Nurnberg,https://media-4.api-sports.io/football/teams/171.png,True,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,False,2.0,1.0,1.0,0.0,2.0,1.0,,,,
195984,,UTC,2012-02-18T14:30:00+00:00,1329575400,,,,Fritz-Walter-Stadion (Kaiserslautern),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,False,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
195985,,UTC,2012-02-18T14:30:00+00:00,1329575400,,,,Olympiastadion Berlin (Berlin),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,159,Hertha Berlin,https://media-4.api-sports.io/football/teams/159.png,False,165,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
195986,,UTC,2012-02-18T17:30:00+00:00,1329586200,,,,MAGE SOLAR Stadion (Freiburg im Breisgau),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,,157,Bayern Munich,https://media-4.api-sports.io/football/teams/157.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
195987,,UTC,2012-02-19T14:30:00+00:00,1329661800,,,,Veltins-Arena (Gelsenkirchen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,174,FC Schalke 04,https://media-4.api-sports.io/football/teams/174.png,True,161,VfL Wolfsburg,https://media-4.api-sports.io/football/teams/161.png,False,4.0,0.0,2.0,0.0,4.0,0.0,,,,
195988,,UTC,2012-02-19T16:30:00+00:00,1329669000,,,,AWD-Arena (Hannover),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,166,Hannover 96,https://media-4.api-sports.io/football/teams/166.png,True,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,False,4.0,2.0,2.0,0.0,4.0,2.0,,,,
195989,,UTC,2012-02-24T19:30:00+00:00,1330111800,,,,Stadion im BORUSSIA-PARK (Mönchengladbach),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 23,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
195990,,UTC,2012-02-25T14:30:00+00:00,1330180200,,,,Coface Arena (Mainz),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 23,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,True,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,False,4.0,0.0,3.0,0.0,4.0,0.0,,,,
195991,,UTC,2012-02-25T14:30:00+00:00,1330180200,,,,Mercedes-Benz-Arena (Stuttgart),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 23,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,True,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,False,4.0,1.0,2.0,1.0,4.0,1.0,,,,
