date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-09-12 14:00:00,Cagliari,Genoa,2,3,A,1,0,H,8,9,3,3,15,15,2,6,2,3,0,0
2021-09-12 17:00:00,Milan,Lazio,2,0,H,1,0,H,17,7,3,5,9,18,5,1,1,4,0,0
2021-09-12 19:45:00,Roma,Sassuolo,2,1,H,1,0,H,19,13,9,7,7,11,4,6,2,1,0,0
2021-09-12 11:30:00,Sampdoria,Inter,2,2,D,1,2,A,12,8,3,3,12,13,4,4,4,4,0,0
2021-09-12 14:00:00,Spezia,Udinese,0,1,A,0,0,D,20,8,5,4,12,14,4,5,1,2,0,0
2021-09-12 14:00:00,Torino,Salernitana,4,0,H,1,0,H,15,7,7,2,10,11,7,4,0,2,0,0
2021-09-13 19:45:00,Bologna,Verona,1,0,H,0,0,D,13,5,4,1,14,21,6,2,1,3,0,0
2021-09-17 19:45:00,Sassuolo,Torino,0,1,A,0,0,D,9,18,1,6,7,20,6,3,0,4,0,0
2021-09-18 14:00:00,Genoa,Fiorentina,1,2,A,0,0,D,9,16,3,5,13,16,1,11,4,4,0,0
2021-09-18 17:00:00,Inter,Bologna,6,1,H,3,0,H,19,7,11,2,10,9,5,1,0,3,0,0
2021-09-18 19:45:00,Salernitana,Atalanta,0,1,A,0,0,D,11,10,1,3,21,13,6,4,4,4,0,0
2021-09-19 11:30:00,Empoli,Sampdoria,0,3,A,0,1,A,15,14,4,7,10,10,8,8,2,2,0,0
2021-09-19 19:45:00,Juventus,Milan,1,1,D,1,0,H,9,13,4,3,13,16,4,4,1,1,0,0
2021-09-19 17:00:00,Lazio,Cagliari,2,2,D,1,0,H,28,10,10,3,3,11,10,1,1,3,0,1
2021-09-19 14:00:00,Venezia,Spezia,1,2,A,0,1,A,14,12,3,3,13,10,3,10,4,1,0,0
2021-09-19 17:00:00,Verona,Roma,3,2,H,0,1,A,10,15,6,2,14,13,3,8,4,2,0,0
2021-09-20 19:45:00,Udinese,Napoli,0,4,A,0,2,A,9,18,1,8,10,11,2,5,2,1,0,0
2021-09-21 19:45:00,Atalanta,Sassuolo,2,1,H,2,1,H,14,8,5,1,17,16,5,5,2,2,0,0
2021-09-21 17:30:00,Bologna,Genoa,2,2,D,0,0,D,17,11,6,6,14,15,7,2,3,4,0,0
2021-09-21 19:45:00,Fiorentina,Inter,1,3,A,1,0,H,14,17,6,5,11,15,4,8,2,3,1,0
2021-09-22 19:45:00,Cagliari,Empoli,0,2,A,0,1,A,16,17,1,5,15,13,7,4,2,1,0,0
2021-09-22 19:45:00,Milan,Venezia,2,0,H,0,0,D,15,8,4,2,12,13,4,4,0,2,0,0
2021-09-22 17:30:00,Salernitana,Verona,2,2,D,1,2,A,15,10,4,5,13,17,4,5,2,3,0,0
2021-09-22 17:30:00,Spezia,Juventus,2,3,A,1,1,D,10,26,5,9,14,10,5,15,2,1,0,0
2021-09-23 19:45:00,Roma,Udinese,1,0,H,1,0,H,12,8,2,3,22,8,6,6,4,1,1,0
2021-09-23 17:30:00,Sampdoria,Napoli,0,4,A,0,2,A,13,17,5,9,10,7,5,5,2,1,0,0
2021-09-23 17:30:00,Torino,Lazio,1,1,D,0,0,D,16,6,5,2,19,9,6,5,3,3,0,0
2021-09-25 19:45:00,Genoa,Verona,3,3,D,0,1,A,10,12,4,7,13,13,3,2,3,2,0,0
2021-09-25 17:00:00,Inter,Atalanta,2,2,D,1,2,A,19,23,6,5,13,11,4,11,3,5,0,0
2021-09-25 14:00:00,Spezia,Milan,1,2,A,0,0,D,8,18,2,5,12,11,2,4,2,2,0,0
2021-09-26 14:00:00,Empoli,Bologna,4,2,H,2,1,H,15,20,7,5,15,22,2,10,2,2,0,0
2021-09-26 11:30:00,Juventus,Sampdoria,3,2,H,2,1,H,16,5,6,3,22,16,4,2,4,3,0,0
2021-09-26 17:00:00,Lazio,Roma,3,2,H,2,1,H,9,20,4,8,11,13,1,9,2,4,0,0
2021-09-26 19:45:00,Napoli,Cagliari,2,0,H,1,0,H,18,6,7,1,12,10,6,4,2,1,0,0
2021-09-26 14:00:00,Sassuolo,Salernitana,1,0,H,0,0,D,17,12,6,5,16,16,4,8,3,3,0,0
2021-09-26 14:00:00,Udinese,Fiorentina,0,1,A,0,1,A,12,8,5,2,14,11,4,1,2,3,0,0
2021-09-27 19:45:00,Venezia,Torino,1,1,D,0,0,D,8,8,2,3,9,18,4,1,1,4,0,1
2021-10-01 19:45:00,Cagliari,Venezia,1,1,D,1,0,H,9,10,3,4,15,19,2,4,2,5,0,0
2021-10-02 14:00:00,Salernitana,Genoa,1,0,H,0,0,D,10,19,4,4,15,17,10,8,2,2,0,0
2021-10-02 19:45:00,Sassuolo,Inter,1,2,A,1,0,H,12,18,8,3,10,19,6,8,4,2,0,0
2021-10-02 17:00:00,Torino,Juventus,0,1,A,0,0,D,12,10,2,3,20,14,4,6,3,1,0,0
2021-10-03 19:45:00,Atalanta,Milan,2,3,A,0,2,A,17,13,6,7,13,14,9,5,1,4,0,0
2021-10-03 11:30:00,Bologna,Lazio,3,0,H,2,0,H,10,8,3,4,5,16,3,3,2,5,0,1
2021-10-03 17:00:00,Fiorentina,Napoli,1,2,A,1,1,D,10,12,3,6,16,13,8,2,3,3,0,0
2021-10-03 17:00:00,Roma,Empoli,2,0,H,1,0,H,18,11,7,3,11,16,5,5,2,3,0,0
2021-10-03 14:00:00,Sampdoria,Udinese,3,3,D,1,2,A,13,18,3,7,12,15,6,8,4,5,0,0
2021-10-03 14:00:00,Verona,Spezia,4,0,H,3,0,H,6,12,4,4,15,11,1,5,1,1,0,1
2021-10-16 17:00:00,Lazio,Inter,3,1,H,0,1,A,19,12,8,4,12,12,7,3,3,6,1,0
2021-10-16 19:45:00,Milan,Verona,3,2,H,0,2,A,17,10,4,5,11,20,5,4,1,4,0,0
2021-10-16 14:00:00,Spezia,Salernitana,2,1,H,0,1,A,18,15,5,4,13,15,10,2,2,3,0,0
2021-10-17 11:30:00,Cagliari,Sampdoria,3,1,H,1,0,H,12,17,5,3,14,18,5,9,4,2,0,0
2021-10-17 14:00:00,Empoli,Atalanta,1,4,A,1,2,A,13,22,6,7,10,15,5,4,3,2,0,0
2021-10-17 14:00:00,Genoa,Sassuolo,2,2,D,1,2,A,19,15,4,5,11,18,6,1,2,4,0,0
2021-10-17 19:45:00,Juventus,Roma,1,0,H,1,0,H,6,14,2,4,18,13,0,6,3,5,0,0
2021-10-17 17:00:00,Napoli,Torino,1,0,H,0,0,D,10,11,3,3,6,20,3,4,2,4,0,0
2021-10-17 14:00:00,Udinese,Bologna,1,1,D,0,0,D,10,23,2,11,15,11,2,8,3,7,1,0
2021-10-18 19:45:00,Venezia,Fiorentina,1,0,H,1,0,H,4,10,2,2,17,11,2,5,2,5,0,1
2021-10-22 19:45:00,Sampdoria,Spezia,2,1,H,2,0,H,6,17,2,7,9,9,0,8,3,1,0,0
2021-10-22 17:30:00,Torino,Genoa,3,2,H,2,0,H,17,14,6,4,20,18,2,4,2,3,0,0
2021-10-23 19:45:00,Bologna,Milan,2,4,A,0,2,A,9,15,4,7,7,15,4,1,1,3,2,0
2021-10-23 14:00:00,Salernitana,Empoli,2,4,A,0,4,A,12,11,6,6,11,16,7,1,1,3,0,0
2021-10-23 17:00:00,Sassuolo,Venezia,3,1,H,1,1,D,14,8,7,3,10,15,5,4,1,2,0,0
2021-10-24 11:30:00,Atalanta,Udinese,1,1,D,0,0,D,8,9,3,3,15,15,6,3,2,2,0,0
2021-10-24 14:00:00,Fiorentina,Cagliari,3,0,H,2,0,H,21,3,5,1,11,15,4,1,0,2,0,0
2021-10-24 19:45:00,Inter,Juventus,1,1,D,1,0,H,10,16,2,4,14,16,5,2,2,2,0,0
2021-10-24 17:00:00,Roma,Napoli,0,0,D,0,0,D,13,11,1,3,14,10,7,4,4,1,0,0
2021-10-24 14:00:00,Verona,Lazio,4,1,H,2,0,H,16,9,7,4,12,15,3,4,2,2,0,0
2021-10-26 19:45:00,Milan,Torino,1,0,H,1,0,H,10,12,2,2,14,21,2,5,3,3,0,0
2021-10-26 17:30:00,Spezia,Genoa,1,1,D,0,0,D,13,9,3,2,12,16,3,3,2,4,0,0
2021-10-26 17:30:00,Venezia,Salernitana,1,2,A,1,0,H,8,21,4,7,17,13,4,5,3,3,1,0
2021-10-27 19:45:00,Cagliari,Roma,1,2,A,0,0,D,7,22,5,3,16,16,2,10,3,4,0,0
2021-10-27 19:45:00,Empoli,Inter,0,2,A,0,1,A,9,21,3,9,20,15,5,6,1,3,1,0
2021-10-27 17:30:00,Juventus,Sassuolo,1,2,A,0,1,A,14,8,3,4,21,15,4,4,1,5,0,0
2021-10-27 19:45:00,Lazio,Fiorentina,1,0,H,0,0,D,5,9,2,1,16,11,3,6,3,3,0,0
2021-10-27 17:30:00,Sampdoria,Atalanta,1,3,A,1,2,A,8,13,3,4,15,19,3,3,4,3,0,0
2021-10-27 17:30:00,Udinese,Verona,1,1,D,1,0,H,16,5,5,2,13,12,7,4,1,2,0,0
2021-10-28 19:45:00,Napoli,Bologna,3,0,H,2,0,H,18,8,6,1,20,5,4,2,1,1,0,0
2021-10-30 14:00:00,Atalanta,Lazio,2,2,D,1,1,D,17,8,3,5,13,13,6,2,1,3,0,0
2021-10-30 19:45:00,Torino,Sampdoria,3,0,H,1,0,H,16,5,6,1,19,8,4,5,2,4,0,1
2021-10-30 17:00:00,Verona,Juventus,2,1,H,2,0,H,12,15,5,4,22,8,4,1,4,3,0,0
2021-10-31 14:00:00,Fiorentina,Spezia,3,0,H,1,0,H,27,3,12,0,9,20,7,4,4,3,0,0
2021-10-31 14:00:00,Genoa,Venezia,0,0,D,0,0,D,19,6,4,2,13,13,12,4,1,3,0,0
2021-10-31 11:30:00,Inter,Udinese,2,0,H,0,0,D,15,9,6,5,9,11,6,4,0,2,0,0
2021-10-31 19:45:00,Roma,Milan,1,2,A,0,1,A,24,8,6,3,19,13,6,2,4,7,0,1
2021-10-31 17:00:00,Salernitana,Napoli,0,1,A,0,0,D,9,18,3,3,11,13,4,4,0,2,1,1
2021-10-31 14:00:00,Sassuolo,Empoli,1,2,A,1,0,H,15,14,5,6,16,12,4,6,4,2,0,0
2021-11-01 19:45:00,Bologna,Cagliari,2,0,H,0,0,D,8,9,3,2,11,9,5,2,3,2,0,1
2021-11-05 19:45:00,Empoli,Genoa,2,2,D,0,1,A,10,15,2,7,8,21,4,5,0,4,0,0
2021-11-06 19:45:00,Cagliari,Atalanta,1,2,A,1,2,A,7,21,1,8,11,9,2,7,1,1,0,0
2021-11-06 17:00:00,Juventus,Fiorentina,1,0,H,0,0,D,13,6,3,1,15,15,5,5,2,4,0,1
2021-11-06 14:00:00,Spezia,Torino,1,0,H,0,0,D,7,9,3,1,15,17,2,3,3,3,0,0
2021-11-07 17:00:00,Lazio,Salernitana,3,0,H,2,0,H,16,5,5,0,7,14,5,1,1,2,0,0
2021-11-07 19:45:00,Milan,Inter,1,1,D,1,1,D,16,13,4,3,16,11,4,8,1,0,0,0
2021-11-07 17:00:00,Napoli,Verona,1,1,D,1,1,D,16,11,1,3,16,19,3,2,2,7,0,2
2021-11-07 14:00:00,Sampdoria,Bologna,1,2,A,0,0,D,10,14,4,7,14,12,6,5,4,1,0,0
2021-11-07 14:00:00,Udinese,Sassuolo,3,2,H,2,2,D,13,10,2,4,14,15,1,5,3,3,1,0
2021-11-07 11:30:00,Venezia,Roma,3,2,H,1,2,A,13,27,7,10,12,18,4,11,2,2,0,0
2021-11-20 14:00:00,Atalanta,Spezia,5,2,H,3,1,H,18,10,9,5,10,11,0,6,2,3,0,0
