,,,,date,round,day,venue,result,GF,GA,opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,time
ENG-Premier League,1920,Brighton,2019-10-05 Brighton-Tottenham,2019-10-05,Matchweek 8,Sat,Home,W,3,0,Tottenham,22,12,6,11,5,7,19,36.8,12,13,2,11,14,36,19,0,12:30:00
ENG-Premier League,1920,Brighton,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Away,L,1,2,Aston Villa,11,8,7,3,1,5,25,20.0,20,12,6,6,10,21,29,0,15:00:00
ENG-Premier League,1920,Brighton,2019-10-26 Brighton-Everton,2019-10-26,Matchweek 10,Sat,Home,W,3,2,Everton,18,10,5,12,1,11,17,64.7,6,11,2,9,17,35,9,0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-02 Brighton-Norwich City,2019-11-02,Matchweek 11,Sat,Home,W,2,0,Norwich City,19,13,7,7,5,6,23,26.1,17,8,3,5,13,32,6,0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-10 Manchester Utd-Brighton,2019-11-10,Matchweek 12,Sun,Away,L,1,3,Manchester Utd,28,15,13,13,2,8,26,30.8,18,16,5,11,10,38,14,0,14:00:00
ENG-Premier League,1920,Brighton,2019-11-23 Brighton-Leicester City,2019-11-23,Matchweek 13,Sat,Home,L,0,2,Leicester City,11,7,6,3,2,4,13,30.8,9,9,2,7,7,18,13,0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-30 Liverpool-Brighton,2019-11-30,Matchweek 14,Sat,Away,L,1,2,Liverpool,11,7,7,4,0,8,16,50.0,8,7,3,4,14,25,21,1,15:00:00
ENG-Premier League,1920,Brighton,2019-12-05 Arsenal-Brighton,2019-12-05,Matchweek 15,Thu,Away,W,2,1,Arsenal,11,7,3,7,1,6,21,28.6,15,8,3,5,6,17,25,0,20:15:00
ENG-Premier League,1920,Brighton,2019-12-08 Brighton-Wolves,2019-12-08,Matchweek 16,Sun,Home,D,2,2,Wolves,13,7,4,8,1,5,21,23.8,16,15,5,10,9,22,13,1,16:30:00
ENG-Premier League,1920,Brighton,2019-12-16 Crystal Palace-Brighton,2019-12-16,Matchweek 17,Mon,Away,D,1,1,Crystal Palace,16,11,5,10,1,5,15,33.3,10,5,1,4,9,25,14,0,19:45:00
ENG-Premier League,1920,Brighton,2019-12-21 Brighton-Sheffield Utd,2019-12-21,Matchweek 18,Sat,Home,L,0,1,Sheffield Utd,9,8,3,3,3,5,14,35.7,9,5,0,5,5,14,10,2,15:00:00
ENG-Premier League,1920,Brighton,2019-12-26 Tottenham-Brighton,2019-12-26,Matchweek 19,Thu,Away,L,1,2,Tottenham,23,13,10,10,3,12,23,52.2,11,17,3,14,14,37,28,0,12:30:00
ENG-Premier League,1920,Brighton,2019-12-28 Brighton-Bournemouth,2019-12-28,Matchweek 20,Sat,Home,W,2,0,Bournemouth,23,15,10,9,4,7,13,53.8,6,13,5,8,15,38,13,0,12:30:00
ENG-Premier League,1920,Brighton,2020-01-01 Brighton-Chelsea,2020-01-01,Matchweek 21,Wed,Home,D,1,1,Chelsea,20,15,5,11,4,7,18,38.9,11,21,8,13,8,28,13,1,12:30:00
ENG-Premier League,1920,Brighton,2020-01-11 Everton-Brighton,2020-01-11,Matchweek 22,Sat,Away,L,0,1,Everton,13,6,4,9,0,7,16,43.8,9,12,4,8,10,23,28,0,15:00:00
ENG-Premier League,1920,Brighton,2020-01-18 Brighton-Aston Villa,2020-01-18,Matchweek 23,Sat,Home,D,1,1,Aston Villa,20,10,9,5,6,7,19,36.8,12,12,0,12,16,36,14,0,15:00:00
ENG-Premier League,1920,Brighton,2020-01-21 Bournemouth-Brighton,2020-01-21,Matchweek 24,Tue,Away,L,1,3,Bournemouth,16,9,10,5,1,6,10,60.0,4,14,4,10,6,22,15,1,19:30:00
ENG-Premier League,1920,Brighton,2020-02-01 West Ham-Brighton,2020-02-01,Matchweek 25,Sat,Away,D,3,3,West Ham,19,8,9,9,1,10,22,45.5,12,7,3,4,12,31,12,0,15:00:00
ENG-Premier League,1920,Brighton,2020-02-08 Brighton-Watford,2020-02-08,Matchweek 26,Sat,Home,D,1,1,Watford,13,8,5,6,2,1,7,14.3,6,4,1,3,11,24,9,0,17:30:00
ENG-Premier League,1920,Brighton,2020-02-22 Sheffield Utd-Brighton,2020-02-22,Matchweek 27,Sat,Away,D,1,1,Sheffield Utd,15,8,9,4,2,6,22,27.3,16,14,4,10,12,27,63,0,15:00:00
ENG-Premier League,1920,Brighton,2020-02-29 Brighton-Crystal Palace,2020-02-29,Matchweek 28,Sat,Home,L,0,1,Crystal Palace,26,15,16,8,2,6,11,54.5,5,12,3,9,10,36,15,1,12:30:00
ENG-Premier League,1920,Brighton,2020-03-07 Wolves-Brighton,2020-03-07,Matchweek 29,Sat,Away,D,0,0,Wolves,23,13,10,9,4,12,28,42.9,16,13,3,10,11,34,22,0,15:00:00
ENG-Premier League,1920,Brighton,2020-06-20 Brighton-Arsenal,2020-06-20,Matchweek 30,Sat,Home,W,2,1,Arsenal,22,15,14,5,3,12,20,60.0,8,12,4,8,8,30,25,1,15:00:00
ENG-Premier League,1920,Brighton,2020-06-23 Leicester City-Brighton,2020-06-23,Matchweek 31,Tue,Away,D,0,0,Leicester City,21,14,8,8,5,6,14,42.9,8,11,2,9,10,31,28,0,18:00:00
ENG-Premier League,1920,Brighton,2020-06-30 Brighton-Manchester Utd,2020-06-30,Matchweek 32,Tue,Home,L,0,3,Manchester Utd,13,9,6,7,0,6,14,42.9,8,12,2,10,10,23,16,0,20:15:00
ENG-Premier League,1920,Brighton,2020-07-04 Norwich City-Brighton,2020-07-04,Matchweek 33,Sat,Away,W,1,0,Norwich City,11,5,5,5,1,2,11,18.2,9,18,7,11,13,24,18,0,12:30:00
ENG-Premier League,1920,Brighton,2020-07-08 Brighton-Liverpool,2020-07-08,Matchweek 34,Wed,Home,L,1,3,Liverpool,12,7,6,5,1,8,17,47.1,9,16,7,9,10,22,39,2,20:15:00
ENG-Premier League,1920,Brighton,2020-07-11 Brighton-Manchester City,2020-07-11,Matchweek 35,Sat,Home,L,0,5,Manchester City,12,7,7,5,0,6,25,24.0,19,12,6,6,17,29,18,1,20:00:00
ENG-Premier League,1920,Brighton,2020-07-16 Southampton-Brighton,2020-07-16,Matchweek 36,Thu,Away,D,1,1,Southampton,18,13,13,4,1,8,18,44.4,10,17,9,8,12,30,21,0,20:15:00
ENG-Premier League,1920,Brighton,2020-07-20 Brighton-Newcastle Utd,2020-07-20,Matchweek 37,Mon,Home,D,0,0,Newcastle Utd,12,7,4,7,1,3,13,23.1,10,18,7,11,10,22,21,0,18:00:00
ENG-Premier League,1920,Brighton,2020-07-26 Burnley-Brighton,2020-07-26,Matchweek 38,Sun,Away,W,2,1,Burnley,6,4,4,1,1,0,1,0.0,1,10,3,7,7,13,30,1,16:00:00
ENG-Premier League,1920,Burnley,2019-08-10 Burnley-Southampton,2019-08-10,Matchweek 1,Sat,Home,W,3,0,Southampton,21,12,13,8,0,5,11,45.5,6,14,3,11,14,35,14,0,15:00:00
ENG-Premier League,1920,Burnley,2019-08-17 Arsenal-Burnley,2019-08-17,Matchweek 2,Sat,Away,L,1,2,Arsenal,16,11,4,9,3,6,20,30.0,14,9,3,6,6,22,27,0,12:30:00
ENG-Premier League,1920,Burnley,2019-08-25 Wolves-Burnley,2019-08-25,Matchweek 3,Sun,Away,D,1,1,Wolves,12,7,6,5,1,6,14,42.9,8,11,7,4,11,23,29,0,16:30:00
ENG-Premier League,1920,Burnley,2019-08-31 Burnley-Liverpool,2019-08-31,Matchweek 4,Sat,Home,L,0,3,Liverpool,14,10,8,5,1,8,18,44.4,10,12,6,6,11,25,21,2,17:30:00
ENG-Premier League,1920,Burnley,2019-09-14 Brighton-Burnley,2019-09-14,Matchweek 5,Sat,Away,D,1,1,Brighton,17,13,7,6,4,7,13,53.8,6,15,2,13,11,28,25,0,15:00:00
ENG-Premier League,1920,Burnley,2019-09-21 Burnley-Norwich City,2019-09-21,Matchweek 6,Sat,Home,W,2,0,Norwich City,14,10,8,3,3,5,15,33.3,10,18,3,15,10,24,16,1,15:00:00
ENG-Premier League,1920,Burnley,2019-09-28 Aston Villa-Burnley,2019-09-28,Matchweek 7,Sat,Away,D,2,2,Aston Villa,13,7,4,9,0,8,16,50.0,8,11,6,5,9,22,19,0,15:00:00
ENG-Premier League,1920,Burnley,2019-10-05 Burnley-Everton,2019-10-05,Matchweek 8,Sat,Home,W,1,0,Everton,15,10,7,4,4,7,12,58.3,5,8,5,3,18,33,24,0,15:00:00
ENG-Premier League,1920,Burnley,2019-10-19 Leicester City-Burnley,2019-10-19,Matchweek 9,Sat,Away,L,1,2,Leicester City,15,12,3,9,3,9,16,56.3,7,15,7,8,13,28,26,0,15:00:00
ENG-Premier League,1920,Burnley,2019-10-26 Burnley-Chelsea,2019-10-26,Matchweek 10,Sat,Home,L,2,4,Chelsea,16,9,1,13,2,4,12,33.3,8,12,7,5,13,29,17,1,17:30:00
ENG-Premier League,1920,Burnley,2019-11-02 Sheffield Utd-Burnley,2019-11-02,Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,5,4,3,2,0,0,13,0.0,13,6,2,4,4,9,20,0,15:00:00
ENG-Premier League,1920,Burnley,2019-11-09 Burnley-West Ham,2019-11-09,Matchweek 12,Sat,Home,W,3,0,West Ham,7,2,3,4,0,3,7,42.9,4,8,1,7,8,15,24,0,15:00:00
ENG-Premier League,1920,Burnley,2019-11-23 Watford-Burnley,2019-11-23,Matchweek 13,Sat,Away,W,3,0,Watford,6,4,2,3,1,1,7,14.3,6,10,7,3,12,18,33,1,15:00:00
ENG-Premier League,1920,Burnley,2019-11-30 Burnley-Crystal Palace,2019-11-30,Matchweek 14,Sat,Home,L,0,2,Crystal Palace,20,15,7,11,2,11,22,50.0,11,10,1,9,16,36,19,3,15:00:00
ENG-Premier League,1920,Burnley,2019-12-03 Burnley-Manchester City,2019-12-03,Matchweek 15,Tue,Home,L,1,4,Manchester City,14,8,8,5,1,6,14,42.9,8,12,5,7,13,27,27,0,20:15:00
ENG-Premier League,1920,Burnley,2019-12-07 Tottenham-Burnley,2019-12-07,Matchweek 16,Sat,Away,L,0,5,Tottenham,15,7,6,7,2,7,23,30.4,16,7,3,4,7,22,10,0,15:00:00
ENG-Premier League,1920,Burnley,2019-12-14 Burnley-Newcastle Utd,2019-12-14,Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,14,11,9,4,1,6,17,35.3,11,9,1,8,13,27,31,0,15:00:00
ENG-Premier League,1920,Burnley,2019-12-21 Bournemouth-Burnley,2019-12-21,Matchweek 18,Sat,Away,W,1,0,Bournemouth,13,7,5,6,2,6,11,54.5,5,9,0,9,7,20,27,0,15:00:00
ENG-Premier League,1920,Burnley,2019-12-26 Everton-Burnley,2019-12-26,Matchweek 19,Thu,Away,L,0,1,Everton,20,13,10,10,0,10,22,45.5,12,17,8,9,9,29,25,0,15:00:00
ENG-Premier League,1920,Burnley,2019-12-28 Burnley-Manchester Utd,2019-12-28,Matchweek 20,Sat,Home,L,0,2,Manchester Utd,13,9,7,5,1,5,19,26.3,14,16,7,9,6,19,12,1,19:45:00
ENG-Premier League,1920,Burnley,2020-01-01 Burnley-Aston Villa,2020-01-01,Matchweek 21,Wed,Home,L,1,2,Aston Villa,7,2,3,4,0,5,10,50.0,5,8,2,6,5,12,12,2,12:30:00
ENG-Premier League,1920,Burnley,2020-01-11 Chelsea-Burnley,2020-01-11,Matchweek 22,Sat,Away,L,0,3,Chelsea,13,6,9,3,1,7,13,53.8,6,12,6,6,9,22,25,1,15:00:00
ENG-Premier League,1920,Burnley,2020-01-19 Burnley-Leicester City,2020-01-19,Matchweek 23,Sun,Home,W,2,1,Leicester City,16,11,5,8,3,10,20,50.0,10,12,4,8,12,28,21,0,14:00:00
ENG-Premier League,1920,Burnley,2020-01-22 Manchester Utd-Burnley,2020-01-22,Matchweek 24,Wed,Away,W,2,0,Manchester Utd,13,8,6,4,3,5,15,33.3,10,18,7,11,15,28,31,0,20:15:00
ENG-Premier League,1920,Burnley,2020-02-02 Burnley-Arsenal,2020-02-02,Matchweek 25,Sun,Home,D,0,0,Arsenal,20,14,8,9,3,9,20,45.0,11,12,5,7,7,27,20,0,14:00:00
ENG-Premier League,1920,Burnley,2020-02-15 Southampton-Burnley,2020-02-15,Matchweek 26,Sat,Away,W,2,1,Southampton,18,10,7,8,3,8,19,42.1,11,10,3,7,10,28,32,0,12:30:00
ENG-Premier League,1920,Burnley,2020-02-22 Burnley-Bournemouth,2020-02-22,Matchweek 27,Sat,Home,W,3,0,Bournemouth,22,13,12,9,1,10,18,55.6,8,10,4,6,9,31,19,0,15:00:00
ENG-Premier League,1920,Burnley,2020-02-29 Newcastle Utd-Burnley,2020-02-29,Matchweek 28,Sat,Away,D,0,0,Newcastle Utd,14,7,5,5,4,8,13,61.5,5,17,11,6,7,21,24,0,15:00:00
ENG-Premier League,1920,Burnley,2020-03-07 Burnley-Tottenham,2020-03-07,Matchweek 29,Sat,Home,D,1,1,Tottenham,24,16,6,16,2,8,17,47.1,9,10,5,5,13,37,22,0,17:30:00
ENG-Premier League,1920,Burnley,2020-06-22 Manchester City-Burnley,2020-06-22,Matchweek 30,Mon,Away,L,0,5,Manchester City,11,7,5,5,1,7,16,43.8,9,11,4,7,9,20,12,0,20:00:00
ENG-Premier League,1920,Burnley,2020-06-25 Burnley-Watford,2020-06-25,Matchweek 31,Thu,Home,W,1,0,Watford,11,8,6,4,1,3,7,42.9,4,6,1,5,10,21,37,1,18:00:00
ENG-Premier League,1920,Burnley,2020-06-29 Crystal Palace-Burnley,2020-06-29,Matchweek 32,Mon,Away,W,1,0,Crystal Palace,16,12,10,3,3,6,13,46.2,7,18,7,11,9,25,37,0,20:00:00
ENG-Premier League,1920,Burnley,2020-07-05 Burnley-Sheffield Utd,2020-07-05,Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,9,7,3,4,2,2,17,11.8,15,16,4,12,7,16,41,0,12:00:00
ENG-Premier League,1920,Burnley,2020-07-08 West Ham-Burnley,2020-07-08,Matchweek 34,Wed,Away,W,1,0,West Ham,17,14,11,4,2,12,25,48.0,13,22,9,13,9,26,44,1,18:00:00
ENG-Premier League,1920,Burnley,2020-07-11 Liverpool-Burnley,2020-07-11,Matchweek 35,Sat,Away,D,1,1,Liverpool,11,4,4,6,1,2,14,14.3,12,11,9,2,14,25,37,0,15:00:00
ENG-Premier League,1920,Burnley,2020-07-15 Burnley-Wolves,2020-07-15,Matchweek 36,Wed,Home,D,1,1,Wolves,12,6,6,3,3,6,22,27.3,16,11,3,8,12,24,25,1,18:00:00
ENG-Premier League,1920,Burnley,2020-07-18 Norwich City-Burnley,2020-07-18,Matchweek 37,Sat,Away,W,2,0,Norwich City,13,7,4,5,4,6,13,46.2,7,9,2,7,7,20,10,0,17:30:00
ENG-Premier League,1920,Burnley,2020-07-26 Burnley-Brighton,2020-07-26,Matchweek 38,Sun,Home,L,1,2,Brighton,20,11,7,13,0,6,11,54.5,5,8,5,3,12,32,6,0,16:00:00
ENG-Premier League,1920,Chelsea,2019-08-11 Manchester Utd-Chelsea,2019-08-11,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,21,9,6,8,7,6,20,30.0,14,16,4,12,15,36,13,1,16:30:00
ENG-Premier League,1920,Chelsea,2019-08-18 Chelsea-Leicester City,2019-08-18,Matchweek 2,Sun,Home,D,1,1,Leicester City,25,14,13,8,4,10,23,43.5,13,14,1,13,10,35,25,0,16:30:00
ENG-Premier League,1920,Chelsea,2019-08-24 Norwich City-Chelsea,2019-08-24,Matchweek 3,Sat,Away,W,3,2,Norwich City,26,18,15,8,3,15,20,75.0,5,7,0,7,11,37,9,0,12:30:00
ENG-Premier League,1920,Chelsea,2019-08-31 Chelsea-Sheffield Utd,2019-08-31,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,16,7,11,4,1,8,15,53.3,7,6,1,5,14,30,18,1,15:00:00
ENG-Premier League,1920,Chelsea,2019-09-14 Wolves-Chelsea,2019-09-14,Matchweek 5,Sat,Away,W,5,2,Wolves,20,14,11,9,0,6,19,31.6,13,10,3,7,17,37,30,0,15:00:00
ENG-Premier League,1920,Chelsea,2019-09-22 Chelsea-Liverpool,2019-09-22,Matchweek 6,Sun,Home,L,1,2,Liverpool,15,8,11,4,0,2,10,20.0,8,11,1,10,15,30,10,0,16:30:00
ENG-Premier League,1920,Chelsea,2019-09-28 Chelsea-Brighton,2019-09-28,Matchweek 7,Sat,Home,W,2,0,Brighton,18,9,8,7,3,6,13,46.2,7,9,3,6,13,31,15,0,15:00:00
ENG-Premier League,1920,Chelsea,2019-10-06 Southampton-Chelsea,2019-10-06,Matchweek 8,Sun,Away,W,4,1,Southampton,19,12,15,3,1,11,22,50.0,11,11,2,9,14,33,21,1,14:00:00
ENG-Premier League,1920,Chelsea,2019-10-19 Chelsea-Newcastle Utd,2019-10-19,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,23,12,13,6,4,13,20,65.0,7,8,1,7,8,31,16,0,15:00:00
ENG-Premier League,1920,Chelsea,2019-10-26 Burnley-Chelsea,2019-10-26,Matchweek 10,Sat,Away,W,4,2,Burnley,13,5,6,7,0,4,15,26.7,11,7,3,4,11,24,22,0,17:30:00
ENG-Premier League,1920,Chelsea,2019-11-02 Watford-Chelsea,2019-11-02,Matchweek 11,Sat,Away,W,2,1,Watford,16,8,8,8,0,8,18,44.4,10,12,4,8,13,29,18,0,17:30:00
ENG-Premier League,1920,Chelsea,2019-11-09 Chelsea-Crystal Palace,2019-11-09,Matchweek 12,Sat,Home,W,2,0,Crystal Palace,19,9,8,10,1,6,18,33.3,12,6,1,5,10,29,10,0,12:30:00
ENG-Premier League,1920,Chelsea,2019-11-23 Manchester City-Chelsea,2019-11-23,Matchweek 13,Sat,Away,L,1,2,Manchester City,15,11,9,6,0,6,16,37.5,10,11,4,7,17,32,24,2,17:30:00
ENG-Premier League,1920,Chelsea,2019-11-30 Chelsea-West Ham,2019-11-30,Matchweek 14,Sat,Home,L,0,1,West Ham,7,5,4,2,1,2,13,15.4,11,8,0,8,19,26,11,0,15:00:00
ENG-Premier League,1920,Chelsea,2019-12-04 Chelsea-Aston Villa,2019-12-04,Matchweek 15,Wed,Home,W,2,1,Aston Villa,13,8,7,2,4,8,18,44.4,10,9,5,4,6,19,16,0,19:30:00
ENG-Premier League,1920,Chelsea,2019-12-07 Everton-Chelsea,2019-12-07,Matchweek 16,Sat,Away,L,1,3,Everton,14,8,11,1,2,5,10,50.0,5,8,3,5,10,24,24,0,12:30:00
ENG-Premier League,1920,Chelsea,2019-12-14 Chelsea-Bournemouth,2019-12-14,Matchweek 17,Sat,Home,L,0,1,Bournemouth,15,7,6,5,4,7,16,43.8,9,13,8,5,15,30,28,1,15:00:00
ENG-Premier League,1920,Chelsea,2019-12-22 Tottenham-Chelsea,2019-12-22,Matchweek 18,Sun,Away,W,2,0,Tottenham,16,9,11,4,1,3,15,20.0,12,12,2,10,13,29,17,0,16:30:00
ENG-Premier League,1920,Chelsea,2019-12-26 Chelsea-Southampton,2019-12-26,Matchweek 19,Thu,Home,L,0,2,Southampton,21,13,5,13,3,8,19,42.1,11,9,2,7,11,32,7,1,15:00:00
ENG-Premier League,1920,Chelsea,2019-12-29 Arsenal-Chelsea,2019-12-29,Matchweek 20,Sun,Away,W,2,1,Arsenal,17,10,7,10,0,8,18,44.4,10,6,0,6,16,33,12,0,14:00:00
ENG-Premier League,1920,Chelsea,2020-01-01 Brighton-Chelsea,2020-01-01,Matchweek 21,Wed,Away,D,1,1,Brighton,25,14,9,14,2,11,17,64.7,6,12,7,5,19,44,26,0,12:30:00
ENG-Premier League,1920,Chelsea,2020-01-11 Chelsea-Burnley,2020-01-11,Matchweek 22,Sat,Home,W,3,0,Burnley,13,8,7,5,1,1,11,9.1,10,10,4,6,9,22,10,0,15:00:00
ENG-Premier League,1920,Chelsea,2020-01-18 Newcastle Utd-Chelsea,2020-01-18,Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,15,10,5,7,3,9,18,50.0,9,8,0,8,18,33,8,0,17:30:00
ENG-Premier League,1920,Chelsea,2020-01-21 Chelsea-Arsenal,2020-01-21,Matchweek 24,Tue,Home,D,2,2,Arsenal,18,10,10,8,0,8,17,47.1,9,5,0,5,10,28,23,1,20:15:00
ENG-Premier League,1920,Chelsea,2020-02-01 Leicester City-Chelsea,2020-02-01,Matchweek 25,Sat,Away,D,2,2,Leicester City,15,8,7,6,2,7,14,50.0,7,12,5,7,9,24,20,0,12:30:00
ENG-Premier League,1920,Chelsea,2020-02-17 Chelsea-Manchester Utd,2020-02-17,Matchweek 26,Mon,Home,L,0,2,Manchester Utd,18,9,7,10,1,3,13,23.1,10,9,2,7,7,25,15,1,20:00:00
ENG-Premier League,1920,Chelsea,2020-02-22 Chelsea-Tottenham,2020-02-22,Matchweek 27,Sat,Home,W,2,1,Tottenham,26,15,6,16,4,7,23,30.4,16,16,2,14,15,41,14,0,12:30:00
ENG-Premier League,1920,Chelsea,2020-02-29 Bournemouth-Chelsea,2020-02-29,Matchweek 28,Sat,Away,D,2,2,Bournemouth,18,9,6,6,6,6,18,33.3,12,9,1,8,11,29,21,1,15:00:00
ENG-Premier League,1920,Chelsea,2020-03-08 Chelsea-Everton,2020-03-08,Matchweek 29,Sun,Home,W,4,0,Everton,13,7,4,7,2,3,14,21.4,11,6,1,5,7,20,13,1,14:00:00
ENG-Premier League,1920,Chelsea,2020-06-21 Aston Villa-Chelsea,2020-06-21,Matchweek 30,Sun,Away,W,2,1,Aston Villa,7,4,2,3,2,1,3,33.3,2,3,1,2,8,15,12,0,16:15:00
ENG-Premier League,1920,Chelsea,2020-06-25 Chelsea-Manchester City,2020-06-25,Matchweek 31,Thu,Home,W,2,1,Manchester City,13,6,11,2,0,5,15,33.3,10,12,3,9,8,21,20,0,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-01 West Ham-Chelsea,2020-07-01,Matchweek 32,Wed,Away,L,2,3,West Ham,19,11,10,7,2,13,17,76.5,4,8,4,4,5,24,10,0,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-04 Chelsea-Watford,2020-07-04,Matchweek 33,Sat,Home,W,3,0,Watford,13,8,6,6,1,3,9,33.3,6,9,0,9,11,24,19,1,20:00:00
ENG-Premier League,1920,Chelsea,2020-07-07 Crystal Palace-Chelsea,2020-07-07,Matchweek 34,Tue,Away,W,3,2,Crystal Palace,21,10,9,10,2,6,13,46.2,7,15,5,10,19,40,26,1,18:00:00
ENG-Premier League,1920,Chelsea,2020-07-11 Sheffield Utd-Chelsea,2020-07-11,Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,8,7,4,4,0,3,12,25.0,9,4,2,2,14,22,11,1,17:30:00
ENG-Premier League,1920,Chelsea,2020-07-14 Chelsea-Norwich City,2020-07-14,Matchweek 36,Tue,Home,W,1,0,Norwich City,8,7,1,3,4,2,14,14.3,12,10,2,8,16,24,7,0,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-22 Liverpool-Chelsea,2020-07-22,Matchweek 37,Wed,Away,L,3,5,Liverpool,9,4,4,3,2,1,15,6.7,14,11,1,10,7,16,16,0,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-26 Chelsea-Wolves,2020-07-26,Matchweek 38,Sun,Home,W,2,0,Wolves,30,19,11,16,3,15,23,65.2,8,9,3,6,8,38,14,0,16:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-10 Crystal Palace-Everton,2019-08-10,Matchweek 1,Sat,Home,D,0,0,Everton,21,14,7,11,3,9,14,64.3,5,16,5,11,10,31,24,1,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-18 Sheffield Utd-Crystal Palace,2019-08-18,Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,21,15,16,2,3,11,20,55.0,9,14,5,9,13,34,24,1,14:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-24 Manchester Utd-Crystal Palace,2019-08-24,Matchweek 3,Sat,Away,W,2,1,Manchester Utd,25,13,15,6,4,9,16,56.3,7,15,6,9,16,41,27,0,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-31 Crystal Palace-Aston Villa,2019-08-31,Matchweek 4,Sat,Home,W,1,0,Aston Villa,18,9,10,8,0,1,12,8.3,11,7,4,3,7,25,23,0,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-09-14 Tottenham-Crystal Palace,2019-09-14,Matchweek 5,Sat,Away,L,0,4,Tottenham,15,11,4,9,2,5,14,35.7,9,4,1,3,18,33,15,1,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-09-22 Crystal Palace-Wolves,2019-09-22,Matchweek 6,Sun,Home,D,1,1,Wolves,24,9,15,6,3,11,18,61.1,7,12,6,6,14,38,18,1,14:00:00
ENG-Premier League,1920,Crystal Palace,2019-09-28 Crystal Palace-Norwich City,2019-09-28,Matchweek 7,Sat,Home,W,2,0,Norwich City,18,10,8,7,3,10,21,47.6,11,15,4,11,8,26,13,0,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-10-05 West Ham-Crystal Palace,2019-10-05,Matchweek 8,Sat,Away,W,2,1,West Ham,10,6,6,4,0,2,8,25.0,6,9,1,8,9,19,18,0,17:30:00
ENG-Premier League,1920,Crystal Palace,2019-10-19 Crystal Palace-Manchester City,2019-10-19,Matchweek 9,Sat,Home,L,0,2,Manchester City,13,7,7,4,2,6,22,27.3,16,14,3,11,22,35,28,1,17:30:00
ENG-Premier League,1920,Crystal Palace,2019-10-27 Arsenal-Crystal Palace,2019-10-27,Matchweek 10,Sun,Away,D,2,2,Arsenal,14,11,9,5,0,6,14,42.9,8,6,1,5,9,23,30,0,16:30:00
ENG-Premier League,1920,Crystal Palace,2019-11-03 Crystal Palace-Leicester City,2019-11-03,Matchweek 11,Sun,Home,L,0,2,Leicester City,19,13,11,7,1,9,15,60.0,6,7,2,5,9,28,13,0,14:00:00
ENG-Premier League,1920,Crystal Palace,2019-11-09 Chelsea-Crystal Palace,2019-11-09,Matchweek 12,Sat,Away,L,0,2,Chelsea,19,13,12,5,2,6,19,31.6,13,12,8,4,11,30,23,1,12:30:00
ENG-Premier League,1920,Crystal Palace,2019-11-23 Crystal Palace-Liverpool,2019-11-23,Matchweek 13,Sat,Home,L,1,2,Liverpool,14,10,8,6,0,10,13,76.9,3,7,4,3,8,22,30,0,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-11-30 Burnley-Crystal Palace,2019-11-30,Matchweek 14,Sat,Away,W,2,0,Burnley,15,8,7,8,0,4,13,30.8,9,8,4,4,12,27,35,2,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-12-03 Crystal Palace-Bournemouth,2019-12-03,Matchweek 15,Tue,Home,W,1,0,Bournemouth,16,8,9,3,4,8,21,38.1,13,7,1,6,12,28,31,0,19:30:00
ENG-Premier League,1920,Crystal Palace,2019-12-07 Watford-Crystal Palace,2019-12-07,Matchweek 16,Sat,Away,D,0,0,Watford,14,11,10,3,1,8,20,40.0,12,8,6,2,7,21,30,0,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-12-16 Crystal Palace-Brighton,2019-12-16,Matchweek 17,Mon,Home,D,1,1,Brighton,14,7,9,5,0,3,14,21.4,11,10,2,8,14,28,36,1,19:45:00
ENG-Premier League,1920,Crystal Palace,2019-12-21 Newcastle Utd-Crystal Palace,2019-12-21,Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,18,7,7,7,4,11,19,57.9,8,6,3,3,4,22,15,0,15:00:00
