,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,time
,,,,,,,,,,,,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Arsenal,2020-12-16 Arsenal-Southampton,2020-12-16,Matchweek 13,Wed,Home,D,1,1,Southampton,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,2,10,20.0,21,7,23.8,33.6,5,100.0,65.6,21,0,0.0,4,15.8,18:00:00
ENG-Premier League,2021,Arsenal,2020-12-19 Everton-Arsenal,2020-12-19,Matchweek 14,Sat,Away,L,1,2,Everton,2,2,1,0.0,0,0.5,-0.5,0,0,0,0,2,3,66.7,21,6,9.5,22.0,8,12.5,28.4,13,1,7.7,0,12.5,17:30:00
ENG-Premier League,2021,Arsenal,2020-12-26 Arsenal-Chelsea,2020-12-26,Matchweek 15,Sat,Home,W,3,1,Chelsea,3,1,1,66.7,0,2.2,1.2,1,0,1,0,6,18,33.3,17,4,29.4,32.5,14,92.9,61.4,27,1,3.7,0,9.0,17:30:00
ENG-Premier League,2021,Arsenal,2020-12-29 Brighton-Arsenal,2020-12-29,Matchweek 16,Tue,Away,W,1,0,Brighton,2,0,2,100.0,1,0.3,0.3,0,0,0,0,2,16,12.5,37,8,29.7,28.5,7,71.4,52.1,18,0,0.0,1,13.7,18:00:00
ENG-Premier League,2021,Arsenal,2021-01-02 West Brom-Arsenal,2021-01-02,Matchweek 17,Sat,Away,W,4,0,West Brom,3,0,3,100.0,1,0.9,0.9,0,0,0,0,0,6,0.0,27,7,14.8,25.1,3,66.7,45.7,17,1,5.9,0,11.0,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-14 Arsenal-Crystal Palace,2021-01-14,Matchweek 18,Thu,Home,D,0,0,Crystal Palace,2,0,2,100.0,1,0.4,0.4,0,0,0,0,0,2,0.0,25,7,8.0,20.8,6,0.0,14.5,8,0,0.0,1,27.5,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-18 Arsenal-Newcastle Utd,2021-01-18,Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,4,25.0,22,5,0.0,17.6,6,66.7,45.3,8,0,0.0,1,23.0,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-26 Southampton-Arsenal,2021-01-26,Matchweek 20,Tue,Away,W,3,1,Southampton,5,1,4,80.0,0,1.1,0.1,0,0,0,0,2,10,20.0,23,5,13.0,28.6,9,77.8,54.3,17,0,0.0,0,7.0,20:15:00
ENG-Premier League,2021,Arsenal,2021-01-30 Arsenal-Manchester Utd,2021-01-30,Matchweek 21,Sat,Home,D,0,0,Manchester Utd,3,0,3,100.0,1,0.6,0.6,0,0,0,0,0,10,0.0,19,4,15.8,27.8,8,87.5,60.4,18,0,0.0,0,12.0,17:30:00
ENG-Premier League,2021,Arsenal,2021-02-02 Wolves-Arsenal,2021-02-02,Matchweek 22,Tue,Away,L,1,2,Wolves,7,2,5,85.7,0,1.6,0.1,0,1,0,0,2,6,33.3,29,6,17.2,23.0,5,20.0,23.8,20,2,10.0,1,13.0,18:00:00
ENG-Premier League,2021,Arsenal,2021-02-06 Aston Villa-Arsenal,2021-02-06,Matchweek 23,Sat,Away,L,0,1,Aston Villa,8,1,7,87.5,0,2.6,1.6,0,0,0,0,1,1,100.0,14,6,0.0,20.6,3,33.3,34.3,6,0,0.0,0,4.0,12:30:00
ENG-Premier League,2021,Arsenal,2021-02-14 Arsenal-Leeds United,2021-02-14,Matchweek 24,Sun,Home,W,4,2,Leeds United,5,2,3,60.0,0,1.9,-0.1,0,0,0,0,3,14,21.4,32,11,25.0,27.3,7,85.7,60.0,14,0,0.0,0,4.0,16:30:00
ENG-Premier League,2021,Arsenal,2021-02-21 Arsenal-Manchester City,2021-02-21,Matchweek 25,Sun,Home,L,0,1,Manchester City,3,1,2,66.7,0,1.5,0.5,0,0,0,0,5,12,41.7,33,6,27.3,29.3,11,27.3,28.6,4,0,0.0,2,23.5,16:30:00
ENG-Premier League,2021,Arsenal,2021-02-28 Leicester City-Arsenal,2021-02-28,Matchweek 26,Sun,Away,W,3,1,Leicester City,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,1,5,20.0,28,5,10.7,25.3,3,66.7,48.7,7,0,0.0,4,26.0,12:00:00
ENG-Premier League,2021,Arsenal,2021-03-06 Burnley-Arsenal,2021-03-06,Matchweek 27,Sat,Away,D,1,1,Burnley,5,1,4,80.0,0,1.5,0.5,0,0,0,0,0,8,0.0,35,13,14.3,23.7,6,50.0,34.5,14,1,7.1,0,7.5,12:30:00
ENG-Premier League,2021,Arsenal,2021-03-14 Arsenal-Tottenham,2021-03-14,Matchweek 28,Sun,Home,W,2,1,Tottenham,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,2,8,25.0,26,7,26.9,27.2,1,100.0,85.0,5,0,0.0,1,15.5,16:30:00
ENG-Premier League,2021,Arsenal,2021-03-21 West Ham-Arsenal,2021-03-21,Matchweek 29,Sun,Away,D,3,3,West Ham,5,3,2,40.0,0,2.0,-1.0,0,0,0,0,5,7,71.4,19,1,21.1,25.3,6,50.0,39.2,16,0,0.0,1,13.3,15:00:00
ENG-Premier League,2021,Arsenal,2021-04-03 Arsenal-Liverpool,2021-04-03,Matchweek 30,Sat,Home,L,0,3,Liverpool,7,3,4,57.1,0,2.8,-0.2,0,0,0,0,5,17,29.4,23,4,39.1,31.1,8,100.0,61.3,13,0,0.0,1,15.0,20:00:00
ENG-Premier League,2021,Arsenal,2021-04-11 Sheffield Utd-Arsenal,2021-04-11,Matchweek 31,Sun,Away,W,3,0,Sheffield Utd,2,0,2,100.0,1,0.1,0.1,0,0,0,0,4,7,57.1,24,2,20.8,26.9,6,33.3,31.3,7,0,0.0,0,12.0,19:00:00
