date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2022-10-23 14:00:00,Troyes,Lorient,2,2,D,1,0,H,13,21,4,5,8,9,3,6,2,0,0,0
2022-10-28 20:00:00,Lens,Toulouse,3,0,H,0,0,D,13,9,8,0,12,13,6,8,2,1,0,0
2022-10-29 16:00:00,Paris SG,Troyes,4,3,H,1,1,D,19,16,11,5,9,12,8,4,0,3,0,0
2022-10-29 20:00:00,Strasbourg,Marseille,2,2,D,0,2,A,12,13,5,5,14,11,3,0,0,2,0,0
2022-10-30 12:00:00,Auxerre,Ajaccio,1,0,H,1,0,H,18,5,5,1,13,12,5,5,1,1,1,1
2022-10-30 14:00:00,Brest,Reims,0,0,D,0,0,D,12,11,4,3,15,13,5,5,1,1,0,0
2022-10-30 16:05:00,Lorient,Nice,1,2,A,1,0,H,14,16,8,5,7,7,8,3,0,1,0,0
2022-10-30 19:45:00,Lyon,Lille,1,0,H,0,0,D,6,15,3,5,11,15,3,6,3,1,0,0
2022-10-30 14:00:00,Monaco,Angers,2,0,H,0,0,D,8,8,5,4,18,15,7,0,3,3,0,0
2022-10-30 14:00:00,Nantes,Clermont,1,1,D,0,0,D,13,10,4,6,15,9,2,2,0,2,0,0
2022-10-30 14:00:00,Rennes,Montpellier,3,0,H,2,0,H,14,8,3,3,15,12,3,4,1,2,0,0
2022-11-04 20:00:00,Troyes,Auxerre,1,1,D,1,0,H,21,13,6,2,9,10,10,5,2,0,0,0
2022-11-05 16:00:00,Ajaccio,Strasbourg,4,2,H,4,2,H,12,9,7,5,15,20,4,3,0,4,1,0
2022-11-05 20:00:00,Angers,Lens,1,2,A,0,1,A,6,12,3,4,16,6,3,4,1,2,0,0
2022-11-06 14:00:00,Clermont,Montpellier,1,1,D,0,1,A,16,7,7,3,14,17,5,1,1,2,0,0
2022-11-06 16:05:00,Lille,Rennes,1,1,D,1,0,H,19,3,7,2,9,14,6,2,4,1,0,1
2022-11-06 12:00:00,Lorient,Paris SG,1,2,A,0,1,A,9,15,2,8,10,9,5,8,1,1,0,0
2022-11-06 19:45:00,Marseille,Lyon,1,0,H,1,0,H,6,11,2,4,9,13,6,4,0,1,0,0
2022-11-06 14:00:00,Nice,Brest,1,0,H,0,0,D,14,12,9,2,6,11,2,6,1,1,0,0
2022-11-06 14:00:00,Reims,Nantes,1,0,H,0,0,D,22,15,9,5,7,13,10,4,2,4,0,1
2022-11-06 14:00:00,Toulouse,Monaco,0,2,A,0,0,D,13,24,5,10,9,11,7,6,0,1,0,0
2022-11-11 20:00:00,Lyon,Nice,1,1,D,0,1,A,9,13,3,3,7,7,3,4,1,0,0,0
2022-11-12 16:00:00,Lens,Clermont,2,1,H,0,1,A,16,5,3,2,19,17,5,3,1,3,0,0
2022-11-12 20:00:00,Rennes,Toulouse,2,1,H,1,0,H,16,10,8,4,9,10,4,4,0,0,0,0
2022-11-13 14:00:00,Brest,Troyes,2,1,H,0,0,D,15,8,5,2,13,12,5,5,3,2,0,1
2022-11-13 14:00:00,Lille,Angers,1,0,H,1,0,H,9,8,4,2,18,12,2,6,3,1,1,0
2022-11-13 19:45:00,Monaco,Marseille,2,3,A,1,1,D,11,11,6,3,17,9,5,4,3,1,0,0
2022-11-13 14:00:00,Montpellier,Reims,1,1,D,0,0,D,16,17,8,4,15,15,11,7,2,2,0,0
2022-11-13 14:00:00,Nantes,Ajaccio,2,2,D,0,0,D,15,13,5,4,16,17,9,6,3,3,0,0
2022-11-13 12:00:00,Paris SG,Auxerre,5,0,H,1,0,H,9,9,6,3,5,7,3,7,0,0,0,0
2022-11-13 16:05:00,Strasbourg,Lorient,1,1,D,0,1,A,20,6,4,2,9,9,4,2,4,1,0,0
2022-12-28 14:00:00,Ajaccio,Angers,1,0,H,1,0,H,11,14,3,4,13,13,3,5,1,0,0,0
2022-12-28 16:00:00,Auxerre,Monaco,2,3,A,1,1,D,11,6,6,3,9,15,1,3,1,0,0,0
2022-12-28 20:00:00,Brest,Lyon,2,4,A,1,3,A,17,17,5,10,8,19,6,6,2,2,0,0
2022-12-28 18:00:00,Clermont,Lille,0,2,A,0,0,D,9,14,3,3,9,17,3,3,4,2,1,0
2022-12-28 20:00:00,Paris SG,Strasbourg,2,1,H,1,0,H,9,10,6,3,6,12,8,3,4,1,1,0
2022-12-28 14:00:00,Troyes,Nantes,0,0,D,0,0,D,6,19,2,5,9,13,4,4,0,2,0,0
2022-12-29 16:00:00,Lorient,Montpellier,0,2,A,0,2,A,12,14,4,6,15,15,5,2,3,4,0,0
2022-12-29 20:00:00,Marseille,Toulouse,6,1,H,2,0,H,13,10,7,6,14,8,1,6,1,2,0,0
2022-12-29 20:00:00,Nice,Lens,0,0,D,0,0,D,9,10,5,2,11,18,4,6,2,3,0,0
2022-12-29 18:00:00,Reims,Rennes,3,1,H,2,1,H,10,11,4,5,8,8,4,6,2,2,0,0
2023-01-01 14:00:00,Angers,Lorient,1,2,A,1,0,H,14,10,6,5,16,9,7,7,3,0,0,0
2023-01-01 19:45:00,Lens,Paris SG,3,1,H,2,1,H,10,16,4,6,16,12,3,7,2,3,0,0
2023-01-01 16:00:00,Lyon,Clermont,0,1,A,0,0,D,13,13,2,3,21,13,7,4,1,3,0,0
2023-01-01 14:00:00,Monaco,Brest,1,0,H,0,0,D,17,13,5,6,23,14,7,5,3,4,0,0
2023-01-01 14:00:00,Nantes,Auxerre,1,0,H,0,0,D,10,14,3,6,10,19,3,7,1,2,0,0
2023-01-01 14:00:00,Toulouse,Ajaccio,2,0,H,0,0,D,11,1,4,0,15,15,5,2,3,1,0,0
2023-01-02 16:00:00,Lille,Reims,1,1,D,1,0,H,14,9,5,6,8,12,5,1,1,1,0,0
2023-01-02 18:00:00,Montpellier,Marseille,1,2,A,0,0,D,8,18,1,9,10,14,5,7,2,2,0,1
2023-01-02 20:00:00,Rennes,Nice,2,1,H,1,1,D,20,7,5,3,16,7,5,2,1,1,0,0
2023-01-02 14:00:00,Strasbourg,Troyes,2,3,A,1,2,A,17,9,7,5,10,12,3,1,1,2,0,0
2023-01-11 18:00:00,Ajaccio,Reims,0,1,A,0,1,A,11,9,1,3,20,22,2,2,3,3,0,0
2023-01-11 18:00:00,Auxerre,Toulouse,0,5,A,0,3,A,19,9,4,7,22,13,7,4,3,1,0,0
2023-01-11 18:00:00,Brest,Lille,0,0,D,0,0,D,5,11,0,4,15,12,0,8,0,1,0,0
2023-01-11 18:00:00,Clermont,Rennes,2,1,H,1,0,H,11,9,5,2,12,13,4,1,0,2,0,2
2023-01-11 20:00:00,Lorient,Monaco,2,2,D,0,0,D,8,16,6,4,8,13,3,4,1,1,0,0
2023-01-11 18:00:00,Nantes,Lyon,0,0,D,0,0,D,13,10,5,6,12,15,6,1,2,3,0,0
2023-01-11 20:00:00,Nice,Montpellier,6,1,H,2,0,H,16,4,10,2,16,17,3,4,1,1,0,0
2023-01-11 20:00:00,Paris SG,Angers,2,0,H,1,0,H,9,6,6,0,5,10,5,1,1,2,0,0
2023-01-11 20:00:00,Strasbourg,Lens,2,2,D,2,2,D,9,15,6,8,15,10,3,4,1,1,0,0
2023-01-11 20:00:00,Troyes,Marseille,0,2,A,0,1,A,5,13,1,4,12,13,4,7,2,3,0,0
2023-01-14 16:00:00,Lens,Auxerre,1,0,H,0,0,D,10,6,2,1,21,16,9,2,2,4,0,1
2023-01-14 20:00:00,Lyon,Strasbourg,1,2,A,1,2,A,28,8,7,6,10,16,14,2,1,3,0,0
2023-01-14 18:00:00,Marseille,Lorient,3,1,H,1,1,D,16,11,8,3,14,12,6,3,1,0,0,0
2023-01-15 14:00:00,Angers,Clermont,1,2,A,0,1,A,5,10,1,6,15,11,3,1,2,2,0,0
2023-01-15 12:00:00,Lille,Troyes,5,1,H,2,0,H,23,10,13,2,12,5,7,2,1,0,0,0
2023-01-15 16:05:00,Monaco,Ajaccio,7,1,H,5,1,H,11,5,8,2,8,14,3,3,1,2,0,0
2023-01-15 14:00:00,Montpellier,Nantes,0,3,A,0,1,A,11,12,5,7,13,14,3,5,1,2,2,0
2023-01-15 14:00:00,Reims,Nice,0,0,D,0,0,D,13,6,2,4,5,5,5,3,1,1,0,0
2023-01-15 19:45:00,Rennes,Paris SG,1,0,H,0,0,D,8,8,6,1,8,17,4,5,0,0,0,0
2023-01-15 14:00:00,Toulouse,Brest,1,1,D,0,1,A,16,17,7,5,16,12,10,5,2,2,0,0
2023-01-27 20:00:00,Lorient,Rennes,2,1,H,2,0,H,4,19,4,6,4,6,2,10,1,1,0,0
2023-01-28 20:00:00,Marseille,Monaco,1,1,D,0,1,A,22,11,6,4,7,9,6,3,2,2,0,0
2023-01-28 16:00:00,Troyes,Lens,1,1,D,0,0,D,6,21,1,5,12,7,3,11,2,2,0,0
2023-01-29 16:05:00,Ajaccio,Lyon,0,2,A,0,1,A,16,8,5,2,22,18,5,1,2,3,0,0
2023-01-29 14:00:00,Auxerre,Montpellier,0,2,A,0,0,D,16,4,5,3,13,18,5,3,1,3,0,0
2023-01-29 14:00:00,Brest,Angers,4,0,H,2,0,H,9,8,7,1,10,17,4,5,0,2,0,0
2023-01-29 14:00:00,Clermont,Nantes,0,0,D,0,0,D,9,4,0,0,9,23,9,1,2,1,0,0
2023-01-29 12:00:00,Nice,Lille,1,0,H,1,0,H,12,16,6,7,12,11,5,7,3,2,0,0
2023-01-29 19:45:00,Paris SG,Reims,1,1,D,0,0,D,12,17,5,4,5,10,3,3,2,1,1,0
2023-01-29 14:00:00,Strasbourg,Toulouse,1,2,A,1,1,D,11,10,2,3,14,10,4,2,2,2,1,0
2023-02-01 18:00:00,Angers,Ajaccio,1,2,A,1,0,H,6,9,2,4,18,11,2,6,1,2,1,0
2023-02-01 20:00:00,Lens,Nice,0,1,A,0,0,D,9,14,4,6,12,8,5,3,0,2,0,0
2023-02-01 18:00:00,Lille,Clermont,0,0,D,0,0,D,22,13,5,5,15,11,8,3,0,1,0,0
2023-02-01 20:00:00,Lyon,Brest,0,0,D,0,0,D,28,8,8,1,10,13,15,2,0,0,0,0
2023-02-01 20:00:00,Monaco,Auxerre,3,2,H,2,0,H,16,11,6,3,11,7,5,4,0,0,0,0
2023-02-01 20:00:00,Montpellier,Paris SG,1,3,A,0,0,D,6,19,3,8,9,12,1,3,1,1,0,0
2023-02-01 18:00:00,Nantes,Marseille,0,2,A,0,0,D,12,13,2,4,14,16,5,7,4,3,0,0
2023-02-01 18:00:00,Reims,Lorient,4,2,H,1,2,A,31,12,9,5,11,7,5,7,1,0,0,0
2023-02-01 20:00:00,Rennes,Strasbourg,3,0,H,2,0,H,6,3,3,0,12,13,4,0,0,1,0,0
2023-02-01 18:00:00,Toulouse,Troyes,4,1,H,2,1,H,13,11,6,3,12,14,8,0,2,3,0,0
2023-02-04 16:00:00,Paris SG,Toulouse,2,1,H,1,1,D,22,14,5,5,9,14,6,2,2,2,0,0
2023-02-04 20:00:00,Rennes,Lille,1,3,A,1,0,H,10,15,6,6,16,9,2,1,1,2,0,0
2023-02-04 18:00:00,Troyes,Lyon,1,3,A,0,1,A,8,10,2,6,10,14,5,6,0,1,0,0
2023-02-05 14:00:00,Ajaccio,Nantes,0,2,A,0,0,D,8,7,2,3,16,16,2,2,2,1,1,0
2023-02-05 14:00:00,Auxerre,Reims,0,0,D,0,0,D,12,8,3,4,13,10,4,5,2,0,0,0
2023-02-05 16:05:00,Brest,Lens,1,1,D,0,0,D,16,20,3,7,15,9,11,5,4,2,0,0
2023-02-05 12:00:00,Clermont,Monaco,0,2,A,0,2,A,8,14,3,5,9,21,2,4,1,2,0,0
2023-02-05 14:00:00,Lorient,Angers,0,0,D,0,0,D,13,13,2,5,16,16,8,6,2,4,0,0
2023-02-05 19:45:00,Marseille,Nice,1,3,A,0,2,A,22,14,5,8,10,5,9,1,0,1,0,0
2023-02-05 14:00:00,Strasbourg,Montpellier,2,0,H,2,0,H,6,11,2,0,11,16,4,7,3,1,1,0
2023-02-10 20:00:00,Nice,Ajaccio,3,0,H,1,0,H,11,6,3,3,9,7,5,5,1,0,0,0
2023-02-11 20:00:00,Clermont,Marseille,0,2,A,0,1,A,9,17,4,5,15,16,3,4,4,3,0,0
2023-02-11 16:00:00,Monaco,Paris SG,3,1,H,3,1,H,19,7,9,2,9,11,3,2,0,1,0,0
2023-02-12 14:00:00,Angers,Auxerre,1,1,D,1,1,D,10,15,5,4,10,9,6,4,2,0,0,0
2023-02-12 14:00:00,Lille,Strasbourg,2,0,H,2,0,H,14,5,10,0,13,13,5,4,1,2,0,0
2023-02-12 19:45:00,Lyon,Lens,2,1,H,1,1,D,11,14,5,4,15,11,2,5,1,1,0,0
2023-02-12 14:00:00,Montpellier,Brest,3,0,H,2,0,H,16,10,7,2,15,20,4,3,1,2,0,0
2023-02-12 16:05:00,Nantes,Lorient,1,0,H,0,0,D,13,9,6,5,12,11,7,3,0,0,0,0
2023-02-12 14:00:00,Reims,Troyes,4,0,H,2,0,H,20,7,10,2,13,14,5,2,1,2,0,0
2023-02-12 12:00:00,Toulouse,Rennes,3,1,H,3,0,H,13,13,7,4,12,17,2,7,1,1,0,0
2023-02-17 20:00:00,Auxerre,Lyon,2,1,H,0,1,A,8,6,3,4,17,12,6,4,4,2,0,0
