fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away
35582,"Olivier Thual, France",2018-04-14,,Stade de la Beaujoire,Nantes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,83,Nantes,https://media-4.api-sports.io/football/teams/83.png,0,89,Dijon,https://media-4.api-sports.io/football/teams/89.png,0,1,1,1,0,1,1
35581,"Benoît Bastien, France",2018-04-14,,Stade Pierre-Mauroy,Lille,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,79,Lille,https://media-4.api-sports.io/football/teams/79.png,0,90,Guingamp,https://media-4.api-sports.io/football/teams/90.png,0,2,2,0,0,2,2
35578,"Ruddy Buquet, France",2018-04-15,671.0,Parc des Princes,Paris,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,85,Paris Saint Germain,https://media-4.api-sports.io/football/teams/85.png,True,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,False,7,1,4,1,7,1
35580,"Karim Abed, France",2018-04-15,660.0,Stade de la Mosson,Montpellier,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,False,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,True,1,3,0,1,1,3
35579,"Sebastien Moreira, France",2018-04-15,684.0,Stade de l'Aube,Troyes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,110,Estac Troyes,https://media-4.api-sports.io/football/teams/110.png,False,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,True,2,3,1,1,2,3
35577,"Benoît Bastien, France",2018-04-20,,Stade de la Beaujoire,Nantes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 34,83,Nantes,https://media-4.api-sports.io/football/teams/83.png,0,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,0,1,1,1,0,1,1
35576,"Frank Schneider, France",2018-04-20,645.0,Stade Gaston-Gérard,Dijon,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 34,89,Dijon,https://media-4.api-sports.io/football/teams/89.png,False,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,True,2,5,1,1,2,5
35575,"Amaury Delerue, France",2018-04-21,667.0,Orange Vélodrome,Marseille,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 34,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,True,79,Lille,https://media-4.api-sports.io/football/teams/79.png,False,5,1,4,0,5,1
35572,"Benoit Millot, France",2018-04-21,,Stade de Roudourou,Guingamp,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 34,90,Guingamp,https://media-4.api-sports.io/football/teams/90.png,True,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,False,3,1,2,0,3,1
35571,"Olivier Thual, France",2018-04-21,,Stade de la Licorne,Amiens,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 34,87,Amiens,https://media-4.api-sports.io/football/teams/87.png,True,95,Strasbourg,https://media-4.api-sports.io/football/teams/95.png,False,3,1,1,0,3,1
