,,,,date,round,day,venue,result,GF,GA,opponent,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,time
,,,,,,,,,,,,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Bournemouth,2018-12-15 Wolves-Bournemouth,2018-12-15,Matchweek 17,Sat,Away,L,0,2,Wolves,18,13,2,1,1,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Home,W,2,0,Brighton,26,16,3,3,0,3,1,4,2,0,2,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-26 Tottenham-Bournemouth,2018-12-26,Matchweek 19,Wed,Away,L,0,5,Tottenham,26,24,1,0,0,0,1,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-30 Manchester Utd-Bournemouth,2018-12-30,Matchweek 20,Sun,Away,L,1,4,Manchester Utd,12,7,3,1,0,0,1,2,1,0,1,0,0,0,16:30:00
ENG-Premier League,1819,Bournemouth,2019-01-02 Bournemouth-Watford,2019-01-02,Matchweek 21,Wed,Home,D,3,3,Watford,43,29,5,4,4,1,0,5,2,1,0,1,1,0,19:45:00
ENG-Premier League,1819,Bournemouth,2019-01-13 Everton-Bournemouth,2019-01-13,Matchweek 22,Sun,Away,L,0,2,Everton,27,19,4,0,2,2,0,0,0,0,0,0,0,0,14:15:00
ENG-Premier League,1819,Bournemouth,2019-01-19 Bournemouth-West Ham,2019-01-19,Matchweek 23,Sat,Home,W,2,0,West Ham,18,11,1,3,2,1,0,4,3,0,1,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-01-30 Bournemouth-Chelsea,2019-01-30,Matchweek 24,Wed,Home,W,4,0,Chelsea,21,13,2,2,1,1,2,8,6,1,0,0,0,1,19:45:00
ENG-Premier League,1819,Bournemouth,2019-02-02 Cardiff City-Bournemouth,2019-02-02,Matchweek 25,Sat,Away,L,0,2,Cardiff City,18,10,3,3,0,1,1,0,0,0,0,0,0,0,17:30:00
ENG-Premier League,1819,Bournemouth,2019-02-09 Liverpool-Bournemouth,2019-02-09,Matchweek 26,Sat,Away,L,0,3,Liverpool,23,15,4,2,2,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-23 Bournemouth-Wolves,2019-02-23,Matchweek 27,Sat,Home,D,1,1,Wolves,19,10,2,3,1,2,1,2,1,0,0,0,1,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Away,L,1,5,Arsenal,23,18,1,0,2,1,1,2,1,0,0,0,0,1,19:45:00
